Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,Labor will today announce our positive plans for achieving gender equality and putting the equal participation of women in our community and economy at the centre of our priorities.,Assertive,2,Labor,,
2,Equality for the women of Australia will be a national priority for a Shorten Labor Government.,Assertive,3,Labor,,
3,"Central to our plan is Labor’s commitment to safe housing for women and children escaping domestic and family violence, which is a major cause of homelessness in Australia.",Assertive,14,Labor,,
4,Family violence is a crisis which requires more than a change in attitudes.,Assertive,5#6,Other,,
5,It is a national disgrace that demands a national approach.,Assertive,,Other,,
6,Over one third of people who accessed specialist homelessness services over the three years to 2013-14 were seeking assistance due to domestic and family violence.,Assertive,7,Other,,
7,"The majority of those were women - 110,000 women compared to 12,000 men– and more than 45,000 of this group were women with children.",Assertive,8,Other,,
8,"Many more women want to leave an abusive relationship, but cannot.",Assertive,9,Other,,
9,"Or do leave, only to return because they have nowhere else to go.",Assertive,10,Other,,
10,This has to change.,Assertive,11,Other,,
11,"Labor will invest $88 million over two years in a new Safe Housing program, to improve transitional housing options for women and children escaping domestic and family violence by filling the gap between crisis housing and longer term arrangements.",Commissive-A,,Labor,Specific,
12,The Safe Housing program will increase the number of dwellings specifically available for women and children fleeing domestic violence and will provide funding for support programs that help women to stay safe in their own homes.,Commissive-A,11#13,Labor,Specific,
13,This commitment builds on Labor’s announcement in 2015 of an initial $15 million investment in Safe at Home grants to help people affected by family violence stay safe in their own home.,Assertive,,Labor,,
14,"<LIST> Through strong government leadership, Labor’s positive plan for gender equality will also focus on:",Assertive,15#16#17#18#19#20#21#22,Labor,,1.0
15,<li> Ending the scourge of family violence. </li>,Commissive-A,30,Labor,Vague,
16,<li> Women’s health. </li>,Commissive-A,30,Labor,Vague,
17,<li> Support managing work and care. </li>,Commissive-A,30,Labor,Vague,
18,<li> Equal Opportunity in education. </li>,Commissive-A,30,Labor,Vague,
19,<li> Gender Pay Equity. </li>,Commissive-A,30,Labor,Vague,
20,<li> Making retirement incomes fairer. </li>,Commissive-A,30,Labor,Vague,
21,<li> Advancing women’s wellbeing at home and abroad. </li>,Commissive-A,30,Labor,Vague,
22,<li> Promoting women’s sport. </li> </LIST>,Commissive-A,30,Labor,Vague,
23,"Ensuring equality for women in Australia through full, fair and equal access to opportunities in the workforce, leadership and education, is both a social issue and economic issue - a test of our national character and vital building block for national prosperity.",Assertive,24,Other,,
24,The latest data from the Australian Bureau of Statistics shows that the pay gap is still too high at 17.3 per cent.,Assertive,25,Other,,
25,"Australian women are now earning on average $277.70 per week less than men and have an average of $90,000 less in superannuation.",Assertive,26,Other,,
26,The G20 has acknowledged that one of the world’s most significant barriers to global economic growth is the persistently low level of women’s participation in the workforce compared with men.,Assertive,27,Other,,
27,"Labor knows that increasing women’s participation and economic security requires action from all parts of the community and there is no area of Australian life, no sector of Australian community, that does not and will not benefit from the full and equal inclusion of women.",Assertive,28,Labor,,
28,The march of women through the institutions of power will define the decade ahead.,Assertive,29,Labor,,
29,"It is our responsibility to speed this advance, to offer all our daughters and our nation a more prosperous, more equal future.",Assertive,30,Labor,,
30,Labor will provide the genuine leadership and the real resources to deliver equality of opportunity for the women of Australia.,Commissive-A,,Labor,Vague,
