Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,"Labor’s positive policies on renewable energy will reverse the three years of destruction wrought by the Abbott-Turnbull Government on this growth industry which employs 20,000 Australians.",Commissive-A,,Labor,Vague,
2,"Supporting renewable energy in Australia has multiple benefits – it lowers power costs for households, reduces the nation’s carbon emissions, and creates jobs for the future in a new and growing industry.",Assertive,3,Labor,,
3,That’s why a Shorten Labor Government will directly drive investment in renewable energy by working with energy providers to enter into Power Purchase Agreements (PPA) equal to bringing Commonwealth energy use up to 50 per cent renewable energy by 2030.,Commissive-A,1,Labor,Specific,
4,"These would be 10-15 year contracts, and would provide the certainty needed for long term investment in the renewable energy sector.",Commissive-A,3,Labor,Specific,
5,The jobs of the future will be powered by renewable energy.,Assertive,7,Labor,,
6,"After three years of the Liberals undermining renewables and destabilising jobs and investment,",Assertive-S,7,Liberal,,1.0
7,a Labor Government will turn things around.,Commissive-A,1,Labor,Vague,
8,Labor's plan will help Australian businesses and households seize the opportunities of renewable energy.,Assertive-V,11,Labor,,
9,We will provide the economic and environmental leadership this sector needs.,Commissive-O,31,Labor,,
10,"Creating the right conditions for new jobs, new investment and new industries.",Commissive-O,31,Labor,,
11,"Our plan is about setting an example, providing certainty and backing words with actions.",Assertive,12,Labor,,
12,A Shorten Labor Government has a comprehensive plan for renewable energy in Australia.,Commissive-A,9#10,Labor,Vague,
13,<LIST> It includes:,Assertive,14#15#16#18,Labor,,1.0
14,<li> 50 per cent renewable energy by 2030. </li>,Commissive-A,12,Labor,Specific,
15,<li> Up to 10 Community Power Hubs across the country to boost small-scale renewables. </li>,Commissive-A,12,Labor,Specific,
16,<li> Adequate funding for the Australian Renewable Energy Agency (ARENA),Commissive-A,12#17,Labor,Specific,
17,which the Abbott-Turnbull Government has tried twice to abolish. </li>,Assertive-S,20,Liberal,,
18,<li> Expanding the investment mandate of the Clean Energy Finance Corporation (CEFC),Commissive-A,12#19,Labor,Specific,
19,which the Abbott-Turnbull Government has also tried to abolish twice. </li> </LIST>,Assertive-S,20,Liberal,,
20,The Liberals’ climate change policies have been an abject failure.,Assertive-V,28,Liberal,,
21,"Malcolm Turnbull knows this, and yet he is too scared of his own backbench to do anything about it.",Assertive-V,20,Liberal,,
22,"The Government’s own numbers predict that under its so-called “Direct Action” policy, emissions will rise by 7.7 per cent by 2020.",Assertive-V,23,Liberal,,
23,That’s right – a policy costing $2.5 billion of taxpayer money that is meant to be cutting emissions will actually result in an increase.,Assertive-V,20,Liberal,,
24,"In the Abbott-Turnbull Government’s first year, large-scale renewable energy investment fell by a stunning 88 per cent.",Assertive-S,20,Liberal,,
25,"Small-scale renewable installations, such as rooftop solar, have also taken a tumble.",Assertive-V,20,Liberal,,
26,"In the last year of the Labor Government, nearly 413,000 such installations occurred.",Assertive-S,31,Labor,,
27,"This year we are on track for 113,000.",Assertive,31,Labor,,
28,This Government has done all it can to destroy this industry.,Assertive-V,31,Labor,,
29,"Almost 3,000 jobs directly involved in the renewables industry have been lost under this Government – a sector which should be growing jobs, not losing them.",Assertive-V,28,Liberal,,
30,"Mr Turnbull likes to talk about innovation, jobs and growth, but the Liberals’ record on renewable investment and jobs exposes this as the empty slogan it is.",Assertive-V,28,Liberal,,
31,"You can trust Labor to protect renewables, and nurture this growing industry so that it continues to create the jobs of the future.",Assertive,,Labor,,
