Id,Sentence,Categories,Target Party,Specificity,Split
1,Australians have always been associated with an active lifestyle and our nation is highly regarded for our success on the global sporting arena.,Assertive,Other,,
2,"However, almost two-thirds of Australians are overweight, including one in four children.",Assertive,Other,,
3,"This is a shocking statistic, but unsurprising, when only one third of kids under 13 are getting the recommended one hour of physical activity per day.",Assertive,Other,,
4,That number nearly triples when these children hit their teenage years.,Assertive,Other,,
5,The Coalition is committed to promoting better health choices to tackle this growing problem.,Commissive-A,Liberal,Vague,
6,A re-elected Turnbull Coalition Government is therefore today announcing it will commit a further $60 million into our Sporting Schools Programme.,Commissive-A,Liberal,Specific,
7,"This will include, for-the-first time, broadening the programme to years 7 and 8 to combat the significant ‘drop out’ in physical activity levels ",Commissive-A,Liberal,Specific,1.0
8,during what can often be a difficult and stressful time for children transitioning from primary to high school.,Assertive,Liberal,,
9,"The programme extension will also encourage more participation from young women in particular as part of our ground-breaking #girlsmakeyourmove campaign, as well as targeting schools where there is evidence of disadvantage.",Commissive-A,Liberal,Specific,
10,Today’s announcement brings our total investment in the Coalition’s Sporting Schools Programme to $160 million.,Assertive-V,Liberal,,
11,"Through this programme, we are helping Australian schools deliver formal, structured sporting activities for children before, during or after school.",Assertive-V,Liberal,,
12,"And it is paying dividends, with more than 5,000 schools and approximately 850,000 primary school children already taking part in Sporting Schools since its official launch in July last year.",Assertive-V,Liberal,,
13,"In addition to getting kids physically active, Sporting Schools also allows children to try a number of different sports to find the one they love the most and link up with a local club.",Assertive-V,Liberal,,
14,This is helping save parents time and money by ensuring they’re investing in a sport their child actually wants to play.,Assertive-V,Liberal,,
15,"Our kids don’t need to become the next sporting superstar - but the Coalition wants to ensure they have every opportunity to be active and play sport, which builds important skills for life.",Assertive,Liberal,,
16,Sport and physical activity are central to a re-elected Turnbull Coalition Government’s preventive health policies.,Assertive,Liberal,,
17,"By investing in children's health now and getting them physically active and enjoying sport, we are building a healthy community for Australia’s future.",Assertive-V,Liberal,,
