Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,Thank you Chris so much.,Expressive,2,Other,,
2,"Well, here we are, at the end of a long campaign.",Assertive,3,Other,,
3,"We are here meeting on the land of the Ngunnawal people and I want to acknowledge them, their custodianship and their elders past and present as we bring to an end this campaign and we hand the determination of the great decision here in this election, the great choice, to the people whose it is – the Australian people, because they will now have their say about the next three years.",Assertive,4,Other,,
4,"These past eight weeks have reinforced for me that the Australian people, now more than ever, are focused overwhelmingly on the economic realities confronting Australia.",Assertive,5#6,Other,,
5,"One strong sentiment I have picked up from so many visits to so many electorates right across the country, is this: Australians want the government they elect to get on with the job of ensuring that we have a strong economy that can set us up for the future; in uncertain times globally, they are looking for a greater sense of common purpose.",Assertive,7,Other,,
6,"I believe they want our Parliament to offload the ideology, to end the juvenile theatrics and the gotcha moments, to drop the personality politics.",Assertive,7,Other,,
7,"They want our focus to be on the issues that matter to them, an end to division for division’s sake.",Assertive,8,Other,,
8,Australians are entitled to expect that of their Parliament.,Assertive,9,Other,,
9,"In these uncertain times, we need to stick together.",Assertive,10,Liberal,,
10,"Stick to our economic plan, grow our economy, create more jobs and build a better future for all Australians.",Assertive,11,Liberal,,
11,"At this election, my Coalition team is presenting a clear economic plan to secure Australia’s future.",Assertive,12#13#17#18#19,Liberal,,
12,"From day one, if re-elected, we will be working harder than ever to deliver our national economic plan - driving investment, jobs and growth, firing up our high-tech innovation sector, ensuring as many of our defence dollars are spent here in Australia, investing in advanced manufacturing, opening up thousands more export opportunities for farmers, tourism and service industries in the giant markets of Asia.",Commissive-A,,Liberal,Vague,
13,"Providing tax incentives for tens of thousands of small family enterprises to grow, to innovate, to invest and to employ more Australians and ensuring that the Budget is managed responsibly and prudently so that we can guarantee funding, well into the future, for hospitals, schools, Medicare, roads and all the other vital services and infrastructure.",Commissive-A,,Liberal,Vague,
14,"From day one, my Government will be seeking passage of legislation to deliver middle income tax cuts to over 2.5 million Australian taxpayers and enterprise tax cuts to 870,000 incorporated small businesses with turnovers below $10 million.",Commissive-A,13#16,Liberal,Specific,
15,Those businesses currently employ 3.44 million Australians,Assertive,16,Liberal,,1.0
16,"and our tax cuts will encourage them to grow, providing more jobs for all Australians.",Assertive-V,,Liberal,,
17,"From day one, if re-elected, the Coalition will be presenting legislation to amend the Fair Work Act so we can stop the takeover of the Country Fire Authority in Victoria - protecting 60,000 volunteer firefighters from a power grab orchestrated by the United Firefighters Union and the Andrews Labor government in Victoria.",Commissive-A,,Liberal,Specific,
18,And we will convene a joint sitting to approve the two vital economic reforms that were double dissolution triggers for this election - the reinstatement of the Australian Building and Construction Commission to restore the rule of law to the construction industry; and the Registered Organisations Bill to hold union officials and employer organisations accountable to the same standards of probity and transparency as apply to company directors.,Commissive-A,,Liberal,Specific,
19,"From day one, my Coalition team will be doing everything in our power to safeguard Australians and Australian business from the risk of any external shock flowing from Britain’s vote to withdraw from the European Union.",Commissive-A,,Liberal,Vague,
20,The aftermath of the Brexit vote is only one of a range of factors driving uncertainty and apprehension in a fragile global economy.,Assertive,21,Liberal,,
21,"It is the duty of the Australian Government to keep this volatility on global markets under close and constant scrutiny – we have to be swift and sure-footed to pre-empt any negative effects that could affect investment, growth and jobs here at home.",Assertive,22,Liberal,,
22,"Now I have taken action this week with the Treasurer, who is here today, with the Finance Minister, Mathias Cormann, to ensure the new government, whomever is elected, will have the best informed analysis and advice from our Council of Financial Regulators – the Reserve Bank, the Treasury, APRA and ASIC – on any measures we may need to take, to limit the impact on our economic interests.",Assertive-S,23,Liberal,,
23,"If re-elected I will meet at the very earliest opportunity with the New Zealand Prime Minister, John Key, so we can work closely together as we navigate our respective trade negotiations with Europe and with Britain.",Commissive-A,19,Liberal,Specific,
24,Australians expect strong and decisive economic leadership.,Assertive,25#27,Other,,
25,They expect political leaders to have the experience to manage the risks sensibly and shrewdly -frame a plan of action and get it done.,Assertive,26,Other,,
26,This is vital to confidence and confidence is the key to economic security.,Assertive,11,Liberal,,
27,I believe Australians share my excitement at the great opportunities ahead.,Expressive,38,Liberal,,
28,"From the farmers, winegrowers and orchardists of Tasmania now selling their clean, green produce into major world markets.",Assertive,27,Liberal,,
29,"Like Josef Chromy, a local winemaker in the Tamar Valley who,   ",Assertive,28#30,Liberal,,1.0
30,"thanks to our export trade deals, is now able to access new customers across Asia, Europe and North American markets;",Assertive-V,,Liberal,,1.0
31,"or Grove Juice in Brisbane which,",Assertive,28#32,Liberal,,1.0
32,"thanks to our Japan Free Trade Agreement, is now able to produce an additional 70 thousand bottles of fresh Australian orange juice.",Assertive-V,,Liberal,,
33,To those advanced designers and manufacturers across the country ,Assertive,28#34,Liberal,,1.0
34,"that are making the most of our defence industry investment, such as Daronmont in Adelaide, Quickstep in Geelong or Austal in Western Australia, which is Australia’s largest defence exporter.",Assertive-V,,Liberal,,
35,To the small businesses like the advanced manufacturer Omni Tanker in Western Sydney or Daisy’s Garden Supply in Victoria -,Assertive,28#36,Liberal,,1.0
36,that because of our enterprise tax cuts will be in a position to invest in and expand their businesses and hire more staff.,Assertive-V,,Liberal,,
37,"To the IT entrepreneurs, like Wayne Gerard, the co-founder of RedEye in Brisbane, at the frontier of the digital economy, or businesses like Carbon Revolution in Geelong who are bringing to life our National Innovation and Science Agenda.",Assertive,28,Liberal,,
38,"Now Australia has done well to record 3.1 per cent growth in the year to March, better than any of the G7 economies and well above the OECD average.",Assertive,39,Liberal,,
