Id,Sentence,Categories,Target Party,Specificity,Split
1,Thank you very much for your Welcome to Country Jason.,Expressive,Other,,
2,"I acknowledge the Traditional Owners, all Larrakia people and the Belyuen family group.",Assertive,Liberal,,
3,I want to acknowledge also the parliamentary colleagues here this morning.,Assertive,Liberal,,
4,"Nigel Scullion, the Minister for Indigenous Affairs, Warren Snowdon who is representing the Opposition Leader, Adam Giles, the Chief Minister and of course Justice Peter Gray, the former Aboriginal Land Commissioner and author of the Land Claim Report in 2000 the justice of is being fulfilled today.",Assertive,Liberal,,
5,Commissioner Reece Kershaw the Commissioner of Police in the Northern Territory and my colleague Natasha Griggs the Member for Solomon.,Assertive,Liberal,,
6,Today we formally recognise what Larrakia people have always known - that this is Aboriginal land.,Assertive,Liberal,,
7,That this is the lands of the Larrakia people.,Assertive,Liberal,,
8,I acknowledge that Larrakia people have cared for this country for tens of thousands of years.,Assertive,Liberal,,
9,"That your songs have been sung since time out of mind and those songs have held and passed on the knowledge of your customs, your traditions, your lore and I pay my deepest respects to you and your elders past and present.",Assertive,Liberal,,
10,Today marks a historic day in the settlement of one of the most complex and protracted land claims in the history of the Land Rights Act.,Assertive,Liberal,,
11,"On behalf of the Commonwealth Government and all Australians, I congratulate the Traditional Owners on their persistence, their resilience, their determination over 37 years to see the Kenbi Land Claim resolved.",Expressive,Liberal,,
12,"I recognise that the journey towards this settlement has been a long and difficult one, ever since the land claim over this Cox Peninsula was officially lodged on the 20th of March 1979 - 37 years ago.",Assertive,Liberal,,
13,There have been three Federal Court and two High Court challenges.,Assertive,Other,,
14,There were five Land Commissioners who examined this claim and who twice reported on the way forward.,Assertive,Other,,
15,"Finally, Justice Peter Gray found in 2000 that there were six persons recognised as Traditional Owners and I recognise here today the members of the Tommy Lyons group - Raylene, Zoe, Jason and Kathleen, and more broadly the Belyuen people and all Larrakia people.",Assertive,Other,,
16,"What followed Justice Grey’s report was a 16-year settlement - the terms of which are finally agreeable to all parties, especially the Traditional Aboriginal owners, the Belyuen group.",Assertive,Other,,
17,Through all of this - over 37 years - you and your families never gave up.,Assertive,Other,,
18,The Kenbi Land Claim was a hard fought land rights battle.,Assertive,Other,,
19,But it represents so much more than a battle over land.,Assertive,Other,,
20,"It is a story that epitomises the survival and the resilience of our First Australians, the survival and the resilience of the Larrakia people.",Assertive,Other,,
21,For you are the land and the land is you.,Assertive,Other,,
22,This is both a celebration and a commemoration - a day to celebrate what has been achieved but also to remember what has been lost.,Expressive,Other,,
23,Today I pay our respects to your elders - your old people - who fought so hard but passed on before their land could be rightfully returned to them.,Expressive,Liberal,,
24,I also acknowledge this claim and other claims near Darwin and over Darwin have been contested and have not all been resolved in a way that some would have hoped.,Assertive,Liberal,,
25,"I want to acknowledge the Northern Land Council Chairman, Samuel Bush-Blanasi and Chief Executive Officer, Joe Morrison who have spoken to eloquently this morning and the representatives of the Northern Land Council who have worked with the Belyuen group, the Larrakia people, the Government, and the broader community to help secure the agreement.",Assertive,Other,,
26,"Adam Giles, as Chief Minister has shown great leadership through his conviction to see the Kenbi Land Claim through and get a resolution.",Assertive,Other,,
27,"Can I thank all parties for their good faith negotiations, which has ultimately resulted in a settlement which will benefit the Belyuan group and future generations of Larrakia people.",Expressive,Other,,
28,It has been 40 years since the Land Rights Act and 50 years since the 1966 Wave Hill Walk-Off triggered movements locally and nationally amongst Aboriginal people for land rights and representation.,Assertive,Other,,
29,It has been even longer since the 1963 bark petition challenged the Government to find a just answer for the Yolngu people of Arnhem Land.,Assertive,Other,,
30,We continue to address challenges that confront us daily of poor outcomes for our First Nations peoples - the persistent gap that we seek so desperately to close in health and social outcomes.,Assertive,Other,,
31,We must work together if we are to see our First Nations peoples have equality of opportunity.,Assertive,Other,,
32,"Yet, we must not fail to appreciate what is being achieved in the face of adversity.",Assertive,Other,,
33,Already more than 40 per cent of Australia’s land mass has been the subject of a successful land rights or native title claim.,Assertive,Other,,
34,The education gap for 12 year completions is closing.,Assertive,Other,,
35,Child mortality rates are closing and Aboriginal babies born now are living longer.,Assertive,Other,,
36,"This can be attributed to the collective work of local, state, and federal governments over the last decade but especially and in particular to Aboriginal people themselves.",Assertive,Other,,
37,The leadership of the community to work in collaboration with each other and with the Government is where we can make our greatest gains.,Assertive,Other,,
