Id,Sentence,Categories,Target Party,Specificity,Split
1,A re-elected Turnbull Coalition Government will partner with the NSW Government to improve access to the M5 South West Motorway at Belmore.,Commissive-A,Liberal,Vague,
2,"Every day, 125,000 motorists use the M5 South West Motorway which links Sydney’s fastest growing suburbs and the city centre.",Assertive,Other,,
3,Congestion costs Sydney more than $6 billion annually in time delays and lost productivity as motorists are stuck in car parks on the congested roads network.,Assertive,Other,,
4,A $30 million funding commitment from a re-elected Turnbull Government and the NSW Government will reduce travel time and congestion making life easier for motorists and local residents.,Commissive-A,Liberal,Specific,
5,This will keep Sydney moving and is another example of the importance of governments working together towards a shared goal to deliver jobs and growth.,Assertive-V,Liberal,,
6,The investment will deliver new ramps at Belmore Road improving access to surrounding arterial roads and allow for faster entry and exit times for local motorists. ,Commissive-O,Liberal,,
7,"Plans also include improvements to traffic lights, noise reduction measures and landscaping.",Commissive-O,Liberal,,
8,This project is a result of the tireless efforts of local Member David Coleman MP who has continued to raise the need for improved infrastructure upgrades to increase the capacity of the M5 for the electorate of Banks with both levels of Government.,Assertive-S,Liberal,,
9,The Turnbull Coalition Government and NSW Government are dedicated to improving access to Sydney’s communities.,Assertive,Liberal,,
10,Investing in infrastructure is a key part of the Turnbull Coalition’s national economic plan for jobs and growth.,Assertive,Liberal,,
