Id,Sentence,Categories,Target Party,Specificity,Split
1,A single illegal firearm is potentially a huge threat to the safety of Australians.,Assertive,Other,,
2,That is why a re-elected Turnbull Coalition Government will invest $64 million to keep guns off our streets and our communities safe.,Commissive-A,Liberal,Specific,
3,Organised syndicates and outlaw motorcycle gangs represent an ongoing threat to this country.,Assertive,Liberal,,
4,"They are driving criminal markets in drug manufacturing and trafficking, extortion, prostitution and firearms trafficking.",Assertive,Liberal,,
5,The Coalition has already delivered a $2.5 billion boost to our law enforcement and security agencies.,Assertive-S,Liberal,,
6,We’ve passed a range of new laws to give our police and security agencies the powers they need to keep the community safe.,Assertive-S,Liberal,,
7,But modern technologies are enabling these criminals to expand their reach globally and inject themselves beyond traditional business models into new markets.,Assertive-V,Liberal,,
8,"We must find new ways to enhance their efforts to detect, disrupt and undermine their activities.",Assertive,Liberal,,
9,We will invest $39 million to extend the work of our National Anti-Gang Squad for a further two years - to track and detect illegal firearms on our streets and attack the scourge of ice and other illegal drugs.,Commissive-A,Liberal,Specific,
10,And we will invest $25.4 million to increase forensics and intelligence assets for the Australian Federal Police.,Commissive-A,Liberal,Specific,
11,"This will also enhance the AFP’s covert online engagement and intelligence and evidence collection, specifically for counter terrorism investigations.",Assertive-V,Liberal,,
12,But we must use every weapon in our arsenal.,Assertive,Liberal,,
13,That is why the Turnbull Government will also re-introduce legislation within our first 100 days to increase maximum penalties and introduce mandatory minimum sentences of five years imprisonment for firearms trafficking.,Commissive-A,Liberal,Specific,
14,"Labor blocked these mandatory minimum sentences on several occasions ,",Assertive-S,Labor,,1.0
15,highlighting their ‘soft on guns’ approach.,Assertive-V,Labor,,
16,The Coalition’s record on community safety and tackling illegal firearms is solid.,Assertive-V,Liberal,,
17,"Under Labor, the Customs budget was cut by more than $700 million, sea cargo inspections decreased by 25% and air cargo inspections decreased by 75%.",Assertive-S,Labor,,
18,"Only a Coalition Government can be trusted to ensure a safe, secure and prosperous Australia.",Assertive,Liberal,,
