Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,Well thank you so much Scott.,Expressive,3,Other,,
2,Thank you Julian and Nick.,Expressive,3,Other,,
3,It is great to be speaking at the Menzies Research Centre.,Expressive,4,Other,,
4,A great institution and I recall the time when I was Chairman and we did a lot of great work.,Assertive,5,Other,,
5,Great work which has produced stronger public policy in many areas.,Assertive,,Other,,
6,Now ladies and gentleman we are living in a time of economic change unprecedented in human history in both its scale and its pace.,Assertive,7,Other,,
7,"Hardworking Australians are seeing this reality on the nightly news – how trade, globalization, and, above all, technological change is producing both new opportunities and also uncertainty in their world.",Assertive,8,Other,,
8,"All Australians, not just economists, know we need to innovate and build new industries and strengthen existing ones because the mining construction boom has ended and the economy must transition to create new sources of growth and jobs.",Assertive,9,Other,,
9,Our resilience our resourcefulness is being tested in an intensely competitive and volatile global economy.,Assertive,10,Other,,
10,"But if we as Australians make the right calls to ensure a strong economy and embrace enterprise and innovation to drive jobs and growth, we can secure our future as a high-wage first world economy with a generous social safety net.",Assertive,11,Other,,
11,That’s why Australians face a critical choice on July 2.,Assertive,12,Other,,
12,This election is about two very different versions of what Australia should look like in the future.,Assertive,13,Other,,
13,Two very different visions.,Assertive,14#16,Other,,
14,My Coalition team’s national economic plan sets Australia up for a secure and successful future in the 21st century.,Assertive-V,15#43,Liberal,,
15,"We are the only team at this election with an economic plan and every element of our Plan is directed at generating stronger economic growth, and more jobs.",Assertive-V,17#18,Liberal,,
16,"Our opponents take a different and very complacent view: they seem to assume economic growth is a given, and that no matter how much you tax, how much you spend, the good times will just keep rolling.",Assertive-V,23,Labor,,
17,"Our Plan will encourage more businesses to grow, to invest and to employ.",Assertive-V,19#23,Liberal,,
18,"And we will live within our means with record spending on education, health and infrastructure and at the same time bring the Budget back into balance.",Commissive-O,19#23,Liberal,,
19,The Budget that Scott brought down is our plan. ,Assertive,20,Liberal,,
20,It is all set out.,Assertive,21#22,Liberal,,
21,Not a lot of pictures.,Assertive,,Liberal,,
22,A lot of numbers and a lot of analysis.,Assertive,,Liberal,,
23,"Labor on the other hand wants to deny tax cuts to all but the smallest businesses, run larger deficits, incur more debt, increase taxes on business and investment - in other words discourage investment and employment.",Assertive-V,24,Labor,,
24,Now do we need more investment; do we need more enterprise and more jobs?,Interrogative,25,Liberal,,
25,Of course we do.,Assertive,26,Liberal,,
26,"Australians can see in our policy measures that encourage that - you lower the tax on investment, you get more investment.",Assertive-V,27,Liberal,,
27,What is Labor doing? ,Interrogative,28,Labor,,
28,"It is increasing taxes on investment, reducing the return on investment.",Assertive-V,29,Labor,,
29,That will result inevitably in less investment and that means less jobs.,Assertive-V,,Labor,,
30,Now Australia has survived the greatest terms of trade shock in its history.,Assertive,32,Other,,
