Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,"Can we have another round of applause for Tanya Plibersek, ",Directive,2,Other,,1.0
2,she is a champion.,Assertive,5,Other,,
3,"In politics, it is always a journey.",Assertive,4,Other,,
4,"The journey of change, the journey of progress. ",Assertive,5,Other,,
5,"But along the way, you actually make some friends and I've got to say, one thing I couldn't have predicted but now wouldn't swap for all the proverbial tea in China is the friendship of Tanya Plibersek.",Assertive,6,Other,,
6,She is outstanding.,Assertive,,Other,,
7,"I too would like to acknowledge the traditional owners of the land on which we meet, ",Assertive,8#9,Other,,1.0
8,I pay my respects to elders past and present.,Expressive,,Other,,
9,And today in particular we acknowledge the inequality faced by Aboriginal and Torres Strait Islander women – and rededicate ourselves to closing the gap.,Assertive,,Labor,,
10,It is also great to be here with my fabulous and inspirational wife Chloe and my incredible kids.,Expressive,11,Other,,
11,"And I say to them, only 3 more weeks to go.",Assertive,,Other,,
12,It is also great to be here with so many remarkable and talented members of my caucus.,Expressive,13,Labor,,
13,With so many members of my united team.,Assertive,,Labor,,
14,"Our Shadow Minister for Women, Claire Moore -consistency is her watchword. ",Assertive,13,Labor,,
15,"Our Spokesperson for Housing, Katy Gallagher.",Assertive,13,Labor,,
16,"Two fine representatives from New South Wales, Jenny McAllister and Sharon Claydon.",Assertive,13,Labor,,
17,"And of course, the next member for Barton, Linda Burney.",Assertive,13,Labor,,
18,Friends,Assertive,19#20,Other,,1.0
19,"In three days' time, on June the 14th, polls will open.",Assertive,21,Other,,
20,"In three weeks' time, they will close.",Assertive,21,Other,,
21,I can assure you no-one is more conscience than me that every day between now and July 2 counts.,Assertive,22,Labor,,
22,"Every hour, every minute matters.",Assertive,23,Labor,,
23,That is why I'm here.,Assertive,24,Labor,,
24,"For me, for our party, for the Labor Government I seek to lead, equality for the women of Australia is a national priority.",Assertive,25,Labor,,
25,A mainstream priority in this election.,Assertive,26,Labor,,
26,"You have scarce time in an election campaign, and what you talk about shows your priorities.",Assertive,27,Labor,,
27,The march of women through the institutions of power will define the future of our economy and the future of our society.,Assertive,28#29#30,Labor,,
28,It is a story that I have watched unfold my whole working life.,Assertive,31,Labor,,
29,It is a cause that I have championed my whole working life.,Assertive,31,Labor,,
30,"It is our responsibility as leaders, as legislators, to do everything in our power to speed the advancement of women.",Assertive,31,Labor,,
31,"To break down the barriers, the stereotypes and the stigma, which hold our daughters and our nation back.",Assertive,32#33#34,Labor,,
32,This is a test of leadership.,Assertive,35,Labor,,
33,A test of integrity.,Assertive,35,Labor,,
34,"And above all, of backing words with actions.",Assertive,35,Labor,,
35,It is a test that my Labor Government is determined to pass.,Assertive-V,36,Labor,,
36,The policy we are launching today is much more than a collection of good intentions and worthy notions.,Assertive-V,37#38#40#43,Labor,,
37,These are real resources.,Assertive-V,42,Labor,,
38,These are practical measures. ,Assertive-V,39#42,Labor,,
39,Driving meaningful change in the way we design and deliver our plans across government. ,Assertive-V,,Labor,,
40,These are plans to support people on the front line. ,Assertive-V,41#42,Labor,,
41,"The advocacy groups, the service providers, the counsellors and the community legal centres.",Assertive-V,,Labor,,
42,And there is more to come.,Assertive,,Labor,,
43,"<LIST> At this election, Labor offers Australia a comprehensive program for women;",Commissive-A,61#69#117#163,Labor,Vague,1.0
44,<li> - Empowering women at work and making it easier for them to save for their retirement and grow older with security. </li> ,Commissive-A,43#55#57,Labor,Vague,
45,"<li> - Extending opportunity to women in education, particularly in coding and computational thinking in the schools and science, engineering, technology and mathematics at university to create more companies like Posse and Canva. </li> ",Commissive-A,43,Labor,Vague,
46,<li> - Mentoring for Indigenous girls to stay engaged in their education. </li> ,Commissive-A,43,Labor,Vague,
47,<li> - Doing more in our region to help women who live in poverty and at the risk of disease. </li> ,Commissive-A,43#124#127,Labor,Vague,
48,"<li> - Elevating women in leadership, in the board room and in the Parliament. </li> ",Commissive-A,43,Labor,Vague,
49,"<li> - Supporting survivors of family violence, both in seeking justice and in finding safe housing. </li> ",Commissive-A,43#58#155#156,Labor,Vague,
50,"<li> - Offering better, fairer assistance for women doing the underpaid, rewarding, demanding, incredibly important work raising children. </li> ",Commissive-A,43#84#102,Labor,Vague,
51,<li> - And celebrating the success of our female athletes with more women sport on our ABC. </li> </LIST>,Commissive-A,43,Labor,Vague,
52,It is about setting the example.,Assertive,53,Labor,,
53,Merely stating that women hold half the sky up is not good enough.,Assertive,54,Labor,,
54,"So first and foremost, as an employer, a Labor government would set the example.",Assertive,55,Labor,,
55,"Under Labor, the office for women will ensure 50 per cent of places on Australian Government boards are filled by women in our first term.",Commissive-A,56,Labor,Specific,
56,Achieving this target will give us the credibility and the moral authority to demand that more ASX 500 companies follow suit.,Assertive-V,,Labor,,
57,"The Commonwealth public service, which employs more than 150,000 talented Australians, will adopt a new anonymous CV process for all graduate and entry-level positions - to eliminate unconscious bias and to ensure that candidates are truly judged on their merits and not by their gender.",Commissive-A,,Labor,Vague,
58,We will reform the National Employment Standards to include up to five days' leave for survivors of family violence.,Commissive-A,60,Labor,Specific,
59,Women who have endured pain and fear are entitled to understanding and support from their employer - not another layer of upheaval and insecurity.,Assertive,60,Labor,,
60,"If we can help people cope, and they are able to maintain a continuous link with employment, it will aid their recovery and development and moving on.",Assertive-V,,Labor,,
61,"And for every budget that Labor delivers in the future, we will issue a separate, specific statement detailing the effects of our policies on women.",Commissive-A,62,Labor,Specific,
62,Because Australia cannot afford six Liberal years of 'budgets for blokes'.,Assertive-V,66,Liberal,,
63,Those budgets with the cuts to paid parental leave and childcare dishonestly presented as courageous savings and the end of a rort.,Assertive-V,62,Liberal,,
64,"Those budgets, with cuts to working women's centres, specialist family violence services, cuts to community legal centres and Aboriginal and Torres Strait Islander family and children centres buried in the fine print.",Assertive-V,62,Liberal,,
65,"Those budgets, with so-called reforms to higher education that inflict the harshest punishment on women who take time out of work to raise a family, by massively increasing student debt with $100,000 degrees.",Assertive-V,62,Liberal,,
66,"We will be honest, open and accountable for the decisions we make.",Commissive-A,67,Labor,Vague,
67,We will draw attention to the impact upon women in all of our budgets.,Commissive-A,,Labor,Specific,
68,"I believe our government should be held to a higher standard by strong and representative voices, which means proper funding for the National Women's Alliances.",Assertive,69,Labor,,
