Id,Sentence,Categories,Target Party,Specificity,Split
1,I acknowledge the traditional owners of this land.,Assertive,Other,,
2,"Australia’s first artists, our first story-tellers, our first dreamers.",Assertive,Other,,
3,I pay my respects to elders past and present.,Expressive,Other,,
4,It’s wonderful to be home in Melbourne and here at the Malthouse.,Expressive,Other,,
5,"A brewery, built in the days of McCubbin, Roberts and Streeton, re-imagined as a theatre in the era of Nowra, Williamson and Jimmy Chi.",Assertive,Other,,
6,And now I stand beside the small St Louis apartment of the Wingfields in The Glass Menagerie by Tennessee Williams.,Assertive,Other,,
7,"Built and designed by some remarkable, creative Australians, some of whom I had the privilege to meet a little earlier this morning.",Assertive,Other,,
8,"This apartment is the home of people who once lived a life of privilege and power, yet now spend their dusty exile pining for a return to the good old days.",Assertive,Other,,
9,"You’re just waiting for Kevin Andrews and Tony Abbott to walk right in, ",Assertive,Other,,1.0
10,aren’t you?,Interrogative,Other,,
11,"In the lead-up to today, I was thinking about what my brilliant friend would have said, the late Bob Ellis.",Assertive,Other,,
12,"Bob would have loved this gathering of the great and the good, the snap and the crackle of talent and intellect, the chance to tell some tall tales and say some outrageous things.",Assertive,Other,,
13,Incomparable – and occasionally unprintable – Bob often used to talk about a person’s ‘hinterland’.,Assertive,Other,,
14,A great Australian word for an intangible sense of curiosity… ,Assertive,Other,,1.0
15,"Of intellectual depth and cultural breadth, of a rich and varied life of the mind.",Assertive,Other,,
16,Friends this is what the arts mean to Australians and Australia.,Assertive,Other,,
17,"The arts are the stories we tell to ourselves, about ourselves.",Assertive,Other,,
18,"The hope, the confidence and open-ness that we project, as a nation at home with who we are, comfortable in our own skin – whatever colour that may be.",Assertive,Other,,
19,"Nourishing Australia’s artistic potential and our cultural identity also delivers real economic benefits: jobs, skills, industries and education.",Assertive,Labor,,
20,"Mark Dreyfus and I are here today because we believe in the arts, and we believe government should invest in the arts.",Assertive,Labor,,
21,We believe Australia’s artistic identity - intangible and ephemeral as it can sometimes be – is most definitely worth fighting for.,Assertive,Labor,,
22,Friends,Assertive,Other,,1.0
23,I know for some of you this election campaign has seemed as long as a Patrick White novel – and as bright and breezy as the Ring Cycle.,Assertive,Other,,
24,There’s not many audiences where I can use that joke,Assertive,Other,,1.0
25,"Today, we mark the halfway point.",Assertive,Other,,
26,An optimist would say we’ve still got 28 days to go,Assertive,Other,,1.0
27,"Mind you, so would a pessimist.",Assertive,Other,,
28,"But there is a bigger point to be made here, in the longest campaign in 50 years.",Assertive,Other,,
29,It gives us the chance in this longer campaign to delve a bit deeper.,Assertive,Other,,
30,To shine the national political spotlight on causes which deserve to be centre-stage.,Assertive,Other,,
31,To pose questions for which a future government ought to have the answers.,Assertive,Other,,
32,AUSTRALIA COUNCIL FOR THE ARTS,Assertive,Other,,1.0
33,"Today I want to take this opportunity, to lay out Labor’s vision for a creative country.",Assertive,Labor,,
34,Our plan to invest in Australia’s creative industries.,Assertive,Labor,,
35,And to repair the decade’s worth of damage done by three years of Liberal vandalism.,Assertive,Labor,,
36,"In the 2014 Budget, the Liberals slashed more than $100 million from arts funding, including cutting our national cultural institutions and Screen Australia.",Assertive-S,Liberal,,
37,Compounded by their attacks on the ABC – the national stage for so much great Australian drama.,Assertive-S,Liberal,,
38,"And in 2015, the Liberals cut a further $105 million from the Australia Council for the Arts - and diverted it into a personal slush fund…for George Brandis.",Assertive-S,Liberal,,
39,"Tony Abbott put $105 million of arts funding in the hands of a man who spent nearly $25,000 on his own bookcase.",Assertive-V,Liberal,,
40,"I am sure, like so many Australians, when Mr Turnbull replaced Mr Abbott– many of you thought he would right this wrong.",Assertive,Liberal,,
41,"I did too, by the way.",Assertive,Liberal,,
42,"And with all the courage and decisiveness that has characterised his time in office, Mr Turnbull kept the slush fund and gave it a new name.",Assertive,Liberal,,
43,That's agile.,Assertive,Liberal,,
44,"Today, I am proud to announce that a Labor Government will end this short-lived and disgraceful practise, and return the money to the Australia Council for the Arts – where it belongs and always will belong.",Commissive-A,Labor,Specific,
45,"And we will provide $20 million of new funding each year, for the next four years.",Commissive-A,Labor,Specific,
46,I can already hear the cry of some conservative commentators saying: ‘it's a cost’.,Assertive,Labor,,
47,It's not a cost.,Assertive,Labor,,
48,It's an investment.,Assertive,Labor,,
49,"I want to return certainty to communities, I want small and middle-sized organisations, which have been driven to the brink of closure and beyond by three years of Liberal cuts, I want them to have certainty back.",Assertive,Labor,,
50,"I want to restore independence and integrity to the allocation of arts grants, scarce taxpayer-funded arts grants.",Assertive,Labor,,
51,I want to restore independence and integrity to this process.,Assertive,Labor,,
52,It's a principle Labor has held dear ever since Gough Whitlam established the Australia Council - ,Assertive-S,Labor,,1.0
53,and we will rescue it once again.,Commissive-A,Labor,Vague,
54,"You see, Labor and myself, we believe the arts belong to all Australians.",Assertive,Labor,,
55,"Egalitarian, not elitist.",Assertive,Labor,,
56,"And they should never be, no matter who is in power, a plaything for the patronage of politicians.",Assertive,Labor,,
57,"Labor has never signed up to the view of some in the commentariat that the arts are confined to a small, paleo-eating, deconstructed coffee drinking, fixie-riding, organic-farming clique.",Assertive-S,Labor,,
58,"We know, and you know and millions of other Australians know, the arts provides an expression, a quality, a soul in peoples’ lives which cannot and should not be underestimated.",Assertive,Labor,,
59,"Art, music, literature and theatre bring pleasure to people of all ages, from every background - and in every part of our remarkable nation.",Assertive,Labor,,
60,From our capital cities and our regional centres – to growing suburbs and grand old country towns.,Assertive,Labor,,
61,REGIONAL ARTS FUND,Assertive,Other,,1.0
62,"<LIST> Since 2001, the Regional Arts Fund has helped bring cultural projects to life in our regions.",Assertive,Labor,,
63,"<li> Supporting ongoing artistic initiatives, rather than one-off projects. </li> ",Assertive,Labor,,
64,<li> Creating more jobs and opportunities for young people in the bush. </li> ,Assertive,Labor,,
65,<li> And bringing new hope to remote communities and other places where perhaps disadvantage would otherwise be entrenched. </li> </LIST>,Assertive,Labor,,
66,The Regional Arts Fund is also tremendous value for the taxpayer dollar.,Assertive,Labor,,
67,"Every dollar of Commonwealth funding, generates almost another two dollars of support from other sources.",Assertive,Labor,,
68,"Today - as part of Labor’s commitment to ensuring and extending opportunity and creativity to every part of our country, ",Assertive,Labor,,1.0
69,"I announce a Labor Government will nearly double the size of the Regional Arts Fund, investing an additional $8 million over the next four years - because the regions deserve the best too.",Commissive-A,Labor,Specific,
70,ABC DRAMA,Assertive,Other,,1.0
71,No discussion of the artistic life of Australia can be conducted without support for the ABC.,Assertive,Labor,,
72,"For generations, our ABC has been the home of Australian drama.",Assertive,Labor,,
73,From The Patriots and Brides of Christ.,Assertive,Labor,,
74,"Changi, Seachange and Paper Giants.",Assertive,Labor,,
75,To Rake and Jack Irish.,Assertive,Labor,,
76,"Australian actors, Australian writers – telling Australian stories.",Assertive,Labor,,
77,"In the era of online content and greater competition, it is more important than ever for government to support the creativity of our people.",Assertive,Labor,,
78,To invest in Australian skills – and Australian jobs.,Assertive,Labor,,
79,"And to make sure the next generation of Australians grow up watching shows about their country, in their accent.",Assertive,Labor,,
80,It gives me great pleasure to announce a new Labor Government after July 2 will invest nearly $60 million in the ABC to support the next generation of quality Australian programming.,Commissive-A,Labor,Specific,
81,LIVE MUSIC,Assertive,Other,,1.0
82,"It's Saturday, so tonight – in the pubs and laneway bars, on sticky wooden floors, worn-down boards and fraying carpet tiles - many hundreds of thousands of Australians will be enjoying live music.",Assertive,Other,,
83,Our live music scene has given icons from every era their start.,Assertive,Other,,
84,And it continues to bring joy and colour to the soundtrack of our national life.,Assertive,Other,,
85,"Today, Australia is the 6th largest music market in the world – and I have every confidence there is still massive untapped potential left to explore and export.",Assertive,Other,,
86,"I still remember that the first album I bought was from Midnight Oil 10, 9, 8, 7... you know, down to 1.",Assertive,Other,,
87,It was on the national charts for about two years.,Assertive,Other,,
88,You'd listen over and over to the furious lyrics of ‘Short Memory’ and that drum solo in ‘Power and the Passion’.,Assertive,Other,,
89,The sound was like no other.,Assertive,Other,,
90,"The stories were Australian, there was no attempt to mimic an American accent, the voices were Australian.",Assertive,Other,,
91,"Australian artists have never received a massive cut from album sales, but it has always been a significant source of income.",Assertive,Other,,
92,"But we've seen the shift, haven't we.",Assertive,Labor,,
93,"From sales to downloads to streaming, it's nearly complete.",Assertive,Labor,,
94,Many consumers welcome the convenience but there is risk in this.,Assertive,Labor,,
95,Royalties paid to artists from streamed music are horrifically low.,Assertive,Labor,,
96,Live performance therefore is now more important than ever.,Assertive,Labor,,
97,"If you want every generation of Australians in the future to be able to hear music from our continent, reaching directly into the energy and spirit of our identity, then we need to encourage live performance.",Assertive,Labor,,
98,"I acknowledge that the office of Live Music does their best and we have some protections in streaming, they're essential but they're not as effective as they used to be.",Assertive,Labor,,
99,"There are no Australian content quotas on Spotify or Pandora, so we need to actively assist our artists to play on stages right around the world.",Assertive,Labor,,
100,"To have a fan base not just here, but abroad.",Assertive,Labor,,
101,Australian music has provided a soundtrack to our lives.,Assertive,Other,,
102,Every one of you will have a story and a moment that you associate with Australian music.,Assertive,Other,,
103,"A memory or a relationship, an experience.",Assertive,Other,,
104,And we should ensure that the future generations of Australians are able to have those moments and those connections to what has been so special to all of our lives.,Assertive,Labor,,
105,Live music is not the biggest issue in this election but it is very important to Labor.,Assertive,Labor,,
106,Labor will dedicate nearly $2 million every year over the next four years to support new acts and promote and protect the wonderful work Australian musicians do.,Commissive-A,Labor,Specific,
107,And we will return $5.6 million of funding to that other great platform for Australian artists: community radio.,Commissive-A,Labor,Specific,
108,"Friends, celebrating the arts means supporting local Australian publishing.",Assertive,Labor,,
109,"In the face of digital disruption and change, Australia's publishers have thrived and adapted, producing 7000 titles a year - perhaps too many political books.",Assertive,Other,,
110,"Generating $2 billion in revenue, directly employing more than 4000 people.",Assertive,Other,,
111,But I know there are serious concerns about what a returned Liberal Government would do in its second 1000 days and the intentions they have in this area.,Assertive,Labor,,
112,I want you to know that Labor has heard the message loud and clear.,Assertive,Labor,,
113,We will not be rushing into any decisions about modifying the current copyright laws.,Commissive-A,Labor,Vague,
114,We will talk to you - and we will listen.,Commissive-A,Labor,Vague,
115,We will ensure that Australia's publishing industry remains strong into the future.,Commissive-A,Labor,Vague,
116,ARTS IN SCHOOLS,Assertive,Other,,1.0
117,Labor’s vision for the Arts is not confined to our support just for the creative industries.,Assertive,Labor,,
118,We know Australians are more than consumers of excellence.,Assertive,Other,,
119,"Millions of our people take great pleasure from taking part: writing, painting, acting, singing and dancing.",Assertive,Other,,
120,From school concerts and local book clubs to community theatre.,Assertive,Other,,
121,"Discovering, on stage, or with a brush or book in hand - a new and greater sense of themselves.",Assertive,Other,,
122,"Shy kids, gaining confidence.",Assertive,Other,,
123,"Young people, unearthing new gifts.",Assertive,Other,,
124,"Teachers, mentors, instructors and parents sharing in this journey, taking pride in the growth of their changes.",Assertive,Other,,
125,Chloe and I have witnessed this with our children.,Assertive,Other,,
126,"<LIST> The joy, the lift, the self-esteem they gain from:",Assertive,Other,,1.0
127,<li> Saturday morning ballet. </li> ,Assertive,Other,,
128,<li> Play rehearsals after school. </li> ,Assertive,Other,,
129,"<li>  Singing lessons, music lessons, drama classes, performance. </li> </LIST>",Assertive,Other,,
130,"But right now, too many Australian children don’t have access to these opportunities.",Assertive,Labor,,
131,Reports show three out of five primary schools do not offer music lessons.,Assertive,Labor,,
132,Only two states in our Commonwealth have music as part of the primary school curriculum.,Assertive,Labor,,
133,"Even with an army of teachers and parents painting the sets and sewing the costumes, with all the raffle tickets and cake-stalls and tuck-shop sales.",Assertive,Labor,,
134,When school funding is cut - drama and music and art always seem to be first on the chopping block.,Assertive,Labor,,
135,So in addition to making sure that every child and every school gets every opportunity through our commitment to properly resource schools with our Gonski funding.,Assertive,Labor,,
136,"Today, I can announce an additional $2 million a year to expand successful school music programs.",Commissive-A,Labor,Specific,
137,"And a further $350,000 a year for the Songmakers program: ensuring more Australian students receive mentoring and inspiration from Australia's best songwriters and producers.",Commissive-A,Labor,Specific,
138,"A Labor Government will give every Australian child every chance to fall in love with music, drama and the performing arts.",Commissive-O,Labor,,
139,CONCLUSION,Assertive,Other,,1.0
140,Friends,Assertive,Other,,1.0
141,The Arts may not decide an election – but they can define a nation.,Assertive,Labor,,
142,"You can judge a party, you can judge a leader by the choices that we make and the issues that we raise.",Assertive,Labor,,
143,"The scarce time we have, the priorities of what we talk about and what we think is important to talk about to the Australian people.",Assertive,Labor,,
