Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,A Shorten Labor Government will deliver the jobs of today and create the jobs of tomorrow by establishing a Strategic Industries Taskforce to ensure Australia has a plan to harness the opportunities in the renewable energy sector.,Commissive-A,15,Labor,Specific,
2,The renewable energy and energy storage industries present an enormous economic opportunity of the next several decades.,Assertive,3,Labor,,
3,"Australia needs a clear strategy to take advantage of this shift – both to address the challenges posed by a changing climate, and to harness the opportunities for our businesses and industry.",Assertive,1,Labor,,
4,"The Strategic Industries Taskforce will undertake in-depth engagement with emissions intensive, trade exposed industries and identify options to support their future competitiveness, to ensure Australia has a clear plan for the future.",Commissive-A,1,Labor,Specific,
5,"The Taskforce will engage with individual firms, peak bodies and research groups to explore the specific challenges and opportunities in each industry, and systematically review both the domestic and global markets they operate within.",Commissive-A,4,Labor,Specific,
6,<LIST> This would include :,Assertive,7#8#9,Labor,,1.0
7,<li> Delivering targeted assistance to enable firms to invest in energy efficient capital equipment and low emissions technologies and invest in processes and products to reduce their carbon emissions. </li> ,Commissive-A,5,Labor,Specific,
8,<li> Investing in science and research to ensure we are in a position to create and commercialise the next wave of innovation in renewables and clean technology. </li> ,Commissive-A,5,Labor,Vague,
9,"<li> Coordinating existing government programs to assist in the transition, including tertiary and vocational education. </li> </LIST>",Commissive-A,5,Labor,Vague,
10,"Labor will also establish a Strategic Industries Reserve Fund with an initial funding profile of $300 million over three years from 1 July 2017 to 2020, to support emissions intensive industries modernise and transition to clean energy.",Commissive-A,1,Labor,Specific,
11,"This Fund will support the ongoing competitiveness of our strategic industries during Australia’s transition to a low-carbon economy, and would be one of the mechanisms for delivering on the recommendations of the Strategic Industries Taskforce.",Commissive-A,10,Labor,Specific,
12,"The Strategic Industries Taskforce will also investigate support for affected workers in emissions intensive regions, targeted assistance to modernise and invest in low emissions technologies, additional research and development, new market identification and measures to improve efficiency and productivity.",Commissive-A,5,Labor,Specific,
13,"In keeping with Labor’s emphasis on innovation across government as well as in the private sector, the fund would seek to leverage new kinds of government/industry partnerships and innovative financing models.",Commissive-A,11,Labor,Specific,
14,"We will also work with local TAFEs, universities and chambers of commerce on employment and retraining programs to assist communities through Australia’s transition to a cleaner, more sustainable economy.",Commissive-A,1,Labor,Vague,
15,This is one part of Labor’s Climate Change Action Plan to ensure our country and economy are prepared for the future.,Assertive,16,Labor,,
16,The jobs of the future need a plan for the future – only Labor has a plan to harness climate change and drive Australia’s future economy,Assertive,,Labor,,
