Id,Sentence,Categories,Target Party,Specificity,Split
1,We will not know the outcome of this election tonight.,Assertive,Other,,
2,"Indeed, we may not know it for some days to come.",Assertive,Other,,
3,But there is one thing for sure – the Labor Party is back.,Assertive,Labor,,
4,"Every single one of you and thousands and thousands of our supporters and members right across this marvellous country, you should have great pride in what we have accomplished.",Assertive,Labor,,
5,In the past three years – we have united as a party.,Assertive,Labor,,
6,In the past eight weeks – we have run a magnificent campaign.,Assertive,Labor,,
7,We have argued for our positive plans.,Assertive,Labor,,
8,"And three years after the Liberals came to power in a landslide, they have lost their mandate.",Assertive-V,Liberal,,
9,"And Mr Turnbull’s economic program, such as it was, has been rejected by the people of Australia.",Assertive-V,Liberal,,
10,"Whatever happens next week, Mr Turnbull will never be able to claim that the people of Australia have adopted his ideological agenda.",Assertive,Liberal,,
11,He will never again be able to promise the stability which he has completely failed to deliver tonight.,Assertive,Liberal,,
12,"Friends, whatever happens next week – whether we are in government or in Opposition – the Labor Party is re-energised, it is unified and it is more determined than ever.",Assertive,Labor,,
13,"And we promise the Australian people that from government or indeed opposition, we will save Medicare.",Commissive-A,Labor,Vague,
14,"Every single member of the Labor and every of our supporters of our cause, should be happy and proud and ready to keep on fighting for the things we believe in.",Assertive,Labor,,
15,I would not swap a single day of the last three years – and I would not swap a single person who I’ve fought alongside.,Assertive,Labor,,
16,We are a great team in Labor.,Assertive,Labor,,
17,There are so many people to thank.,Expressive,Labor,,
18,"But I wish in particular to acknowledge my friend and my deputy leader, Tanya Plibersek.",Assertive,Labor,,
19,"Tanya, you are all class and all heart.",Assertive,Labor,,
20,"I'd also like to thank my leadership group in the Senate, Senator Penny Wong and Senator Stephen Conroy.",Expressive,Labor,,
21,"Indeed,  my leadership including Chris Bowen, Tony Burke and Jenny Macklin, my whole shadow cabinet.",Assertive,Labor,,
22,"My caucus colleagues, branch members, staff and volunteers.",Assertive,Labor,,
23,And of course I wish to thank you the mighty trade union movement of Australia!,Expressive,Other,,
24,"For your energy, your loyalty, your solidarity, your hard work.",Assertive,Other,,
