Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,Labor is today releasing its positive plan for Western Australia.,Assertive,3,Labor,,
2,"As Western Australian families feel the impact of the end of the mining investment boom, they deserve a Federal Government with a clear plan to transition the economy in a way that protects local jobs and improves living standards.",Assertive,3,Other,,
3,Labor will work every day to deliver for middle and working class families in Western Australia.,Commissive-A,,Labor,Vague,
4,We have developed more than 100 positive policies for Western Australians – including building the infrastructure that Western Australia needs to create jobs and drive growth.,Assertive,1#5,Labor,,
5,<LIST> A Shorten Labor Government will:,Assertive,6#7#8#9#10#11#13#14,Labor,,1.0
6,"<li> Plan and build the Perth METRONET, creating 4,000 jobs for Western Australians. </li> ",Commissive-A,3#15,Labor,Specific,
7,"<li> Fund roads and infrastructure upgrades – including the North Lake Bridge, Wanneroo Road and Roe Highway overpasses, and the High Street Fremantle upgrade. </li> ",Commissive-A,3#15,Labor,Specific,
8,"<li> Deliver a better National Broadband Network – about 133,000 more WA households will get fibre-to-the-premises under Labor’s plan. </li> ",Commissive-A,3#15,Labor,Specific,
9,<li> Establish the Northern Australia Tourism Fund – helping to build the tourism infrastructure that northern WA needs to grow the sector and create local jobs. </li> ,Commissive-A,3#15,Labor,Specific,
10,"<li> Protect Medicare – Labor will reverse the Liberals’ freeze on the Medicare Benefits Schedule, meaning an average family with two children in WA will be $400 a year better off. </li> ",Commissive-A,3#15,Labor,Specific,
11,<li> Invest in hospitals – Labor will increase funding for WA hospitals over the next four years.,Commissive-A,3#12#15,Labor,Vague,
12,Hospitals in Western Australia can expect to receive about $220 million more than they would under the Liberals. </li> ,Commissive-O,,Labor,,
13,"<li> Improve WA schools – Labor will fully fund the Gonski reforms, delivering an additional $330 million in targeted, needs-based funding for Western Australian schools in 2018 and 2019 alone, compared to the Liberals. </li> ",Commissive-A,3#15,Labor,Specific,
14,"<li> Deliver child care support that is faster, fairer and more affordable – many of the 61,000 families in WA who rely on the Child Care Rebate will be up to $2,500 a year better off. </li> </LIST>",Commissive-A,3#15,Labor,Vague,
15,These are just some of our positive policies for Western Australia.,Assertive,16,Labor,,
16,"This election, there is a clear choice for Western Australians.",Assertive,17#18,Other,,
17,"Malcolm Turnbull and the Liberals will cut local schools and destroy Medicare, while recklessly spending $50 billion on a tax break for banks and big business.",Assertive-V,18,Liberal,,
18,"A Shorten Labor Government will save Medicare, improve schools, invest in job-creating infrastructure and protect middle and working class families.",Commissive-A,19,Labor,Vague,
19,Bill Shorten and Labor’s plan for Western Australia will put people first.,Assertive-V,,Labor,,
