Id,Sentence,Categories,Target Party,Specificity,Split
1,Good morning everybody and I just want to thank Chris for that generous introduction.,Expressive,Other,,
2,"I acknowledge the traditional owners of the land upon which we meet, ",Assertive,Other,,1.0
3,I pay my respects to elders both past and present.,Expressive,Other,,
4,"I acknowledge many of my team who are here today including Terri Butler, Chris I have mentioned, Shayne Neumann and Graham Perrett as well.",Assertive,Other,,
5,And I thank Jackie Trad for her work and that of Curtis Pitt as well.,Expressive,Other,,
6,"Today, Labor sets an important economic marker in this election.",Assertive,Labor,,
7,The blueprint Chris Bowen and I are launching here in Brisbane reflects the hard work and the fiscal discipline that has defined us as an alternative government.,Assertive,Labor,,
8,"Right from the very first minute of this speech, I want to address a critical question – and give a clear commitment.",Assertive,Labor,,
9,My united team and I will manage the national budget sensibly and responsibly.,Commissive-A,Labor,Vague,
10,We are prepared to make the hard calls and the tough choices.,Assertive,Labor,,
11,Because we believe in our priorities and we are determined to fully-fund the investments in them.,Assertive,Labor,,
12,"Today, alongside Chris Bowen, who I am proud to say will serve as Treasurer in a Labor Government – ",Assertive,Labor,,1.0
13,I give the Australian people this straightforward guarantee.,Commissive-A,Labor,Vague,
14,My Labor government will be accountable for every single dollar.,Commissive-A,Labor,Vague,
15,"We will put forward a very clear plan to pay down the national debt we inherit in a responsible way without damaging jobs in a fragile economy, or depriving Australians of the essential services they rely upon.",Commissive-A,Labor,Vague,
16,Every decision we make will be governed by our solemn understanding that taxpayer money belongs to taxpayers.,Assertive,Labor,,
17,We recognise the national mood of concern about wasteful spending.,Assertive,Labor,,
18,It is a concern we share.,Assertive,Labor,,
19,We will not be a big-spending government.,Commissive-O,Labor,,
20,<LIST> We will apply rigorous budget discipline.,Commissive-A,Labor,Vague,
21,<li> Only policies we can fund. </li> ,Commissive-A,Labor,Vague,
22,<li> Only policies we can afford. </li> ,Commissive-A,Labor,Vague,
23,<li> Only policies we can deliver. </li>  </LIST> ,Commissive-A,Labor,Vague,
24,Labor will outline our full budget position over the next 4 years and the next 10 years.,Assertive,Labor,,
25,A credible pathway to balance and paying-down the debt.,Assertive,Labor,,
26,Let’s be clear: both sides of politics will be in deficit over the four years of the forward estimates.,Assertive,Labor,,
27,"It is true, Labor will not have the same degree of fiscal contraction as the Liberals, over this period.",Assertive,Labor,,
28,<LIST> This is because our solution to the structural deficit:,Assertive,Labor,,1.0
29,<li> Rejects unfairness </li> ,Assertive-V,Labor,,1.0
30,<li> Does not attack demand and confidence </li> ,Assertive-V,Labor,,1.0
31,<li> And avoids retrospectivity </li>  </LIST>,Assertive-V,Labor,,1.0
32,"Our plan rejects vicious cuts to health and education in the short term but will deliver better and bigger structural budget improvements over the decade, savings that accumulate over time and stand the test of time.",Assertive-V,Labor,,
33,"Unlike the Liberals, our fiscal plans will pass the Senate because they are fair and because we are seeking a mandate to implement them.",Assertive,Labor,,
34,We will achieve more savings than spending over the decade.,Commissive-O,Labor,,
35,We will reduce the deficit each and every year.,Commissive-O,Labor,,
36,"Based on current Budget forecasts and projections, under Labor, the budget will be in balance in the same year as the Liberals.",Assertive-V,Labor,,
