Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,"Labor will ensure the benefits of clean energy are available to all, by creating a network of Community Power Hubs that will boost jobs and facilitate the installation of small-scale renewables projects.",Commissive-A,3#5,Labor,Vague,
2,Renewable energy is putting millions of households and tens of thousands of small businesses back in control of their power bills.,Assertive,3,Other,,
3,Labor's plan will allow more communities in the regions and the suburbs to seize these same opportunities.,Commissive-O,,Labor,,
4,"Every Australian deserves the chance to benefit from the rise of renewable energy, wherever they live.",Assertive,5,Other,,
5,"From the cities and suburbs to our regions, Labor is delivering real action on climate change, real jobs and real investment in Australia's renewable energy future.",Assertive,24,Labor,,
6,"In the past decade, the number of household installations of solar panels has soared from just over 1,000 to 1.5 million today.",Assertive,7,Other,,
7,"The take-up rate of rooftop solar has been highest in outer metropolitan and regional areas, contrary to the mistaken idea that it is most popular among inner-city and higher-income households.",Assertive,13,Other,,
8,"There are 20,000 Australians currently employed in the renewable energy sector.",Assertive,9,Other,,
9,But the repeated attacks on renewables by the Abbott-Turnbull Government has put this growing industry at risk.,Assertive-V,10,Liberal,,
10,"While the rest of the world added two million jobs in renewable energy over the last two years, Australia went backwards and lost over 2,000.",Assertive-V,11,Liberal,,
11,"It is in everyone’s interest that confidence be restored, and that small-scale renewables be encouraged.",Assertive,12,Labor,,
12,"Not just so that all Australians can have equal access to lower electricity bills, but also to secure jobs and lower carbon emissions for the economy as a whole.",Assertive,16,Labor,,
13,"Australian households have taken up the opportunity of installing renewable energy systems like rooftop solar panels with enthusiasm, providing a boost for manufacturers and installers across the country.",Assertive,14,Other,,
14,"However, there remain gaps in the significant proportion of households that have previously found it too difficult to access rooftop solar and other small-scale renewables, including those who live in rental properties, public housing and apartment blocks.",Assertive,15,Other,,
15,"Labor believes all households should have access to renewable energy if they want it, and not just those lucky enough to live in dwellings that make it easy.",Assertive,16,Labor,,
16,"A Shorten Labor Government will provide $98.7 million toward the creation of up to ten Community Power Hubs in the areas of most need, which will deal with the challenges of implementing renewable energy solutions.",Commissive-A,,Labor,Specific,
17,"The Hubs will work with local communities to support the development of renewable projects, by providing legal and technical expertise as well as start-up funding.",Commissive-A,16,Labor,Specific,
18,<LIST> Examples of projects that could be eligible include :,Commissive-A,19#20#21#22,Labor,Vague,1.0
19,<li> “Solar gardens” or shared arrays of solar panels for groups of renters. </li>,Commissive-A,17,Labor,Specific,
20,<li> Retrofitting of existing social housing to promote energy efficiency. </li>,Commissive-A,17,Labor,Specific,
21,<li> Community wind farms. </li>,Commissive-A,17,Labor,Specific,
22,<li> Working with social housing and aged care providers on solar rooftop installations. </li> </LIST>,Commissive-A,17,Labor,Specific,
23,"The Hubs will also explore innovative methods of finance for low-income earners and pensioners, including using council rate payments as contributions for projects.",Commissive-A,17,Labor,Specific,
24,"On renewables, the choice is clear –",Assertive,,Labor,,1.0
25,"Labor stands for growth,",Assertive-V,24,Labor,,1.0
26,while the government is only interested in destruction.,Assertive-V,24,Liberal,,
27,The old Malcolm Turnbull may have stood up for green energy,Assertive-S,29,Liberal,,1.0
28,but the new Malcolm Turnbull will follow Tony Abbott’s lead.,Assertive-V,29,Liberal,,
29,You just can’t trust him.,Assertive-V,26,Liberal,,
