Id,Sentence,Categories,Target Party,Specificity,Split
1,"Today Labor is announcing a substantial package of savings measures to pay for our priorities and deliver on our commitment to responsible, long-term budget repair.",Assertive,Labor,,
2,We are announcing $16.2 billion in new and updated budget improvements over the medium term.,Assertive,Labor,,
3,Labor’s net budget improvements to date now amount to $105.4 billion over the medium term.,Assertive,Labor,,
4,"Labor has a positive plan for Australia’s future, and a clear plan to pay for it.",Assertive,Labor,,
5,"The hard choices we have made will ensure a Labor Government can fund our positive policies, return the budget to balance and protect middle and working class families.",Commissive-O,Labor,,
6,"The Liberals have tripled the deficit, added $100 billion to net debt and smashed the household budgets of Australian families.",Assertive-S,Liberal,,
7,"The Liberals’ deep and unfair cuts will damage confidence, weaken growth and put the economy at risk.",Assertive-V,Liberal,,
8,"Under our responsible plan for budget repair, we will reduce the deficit every year and return the budget to balance in the same year as the Liberal Party.",Commissive-A,Labor ,Vague ,
9,<LIST> Today’s savings package includes:,Assertive,Labor,,1.0
10,<li>  Updates to existing budget repair measures. </li> ,Assertive,Labor,,
11,<li> New measures for budget repair. </li>,Assertive,Labor,,
12,<li> Resolving several unlegislated budget measures. </li>  </LIST>,Assertive,Labor,,
13,UPDATES TO EXISTING BUDGET REPAIR MEASURES,Assertive,Labor,,1.0
14,Labor has been announcing budget repair measures over the last two years to improve the budget and support our investments in schools and Medicare.,Assertive-S,Labor ,,
15,"Today we are announcing a $10.1 billion improvement to previously-announced budget measures, as a result of 2016-17 Budget update.",Assertive,Labor,,
16,"This includes boosts to our negative gearing and capital gains reforms, and VET-FEE HELP loan caps.",Assertive,Labor,,
17,Labor’s announced savings from these measures now total $122 billion over the medium term.,Assertive-V,Labor,,
18,NEW MEASURES FOR BUDGET REPAIR,Assertive,Labor,,1.0
19,"Labor is today announcing a further $6.1 billion in budget improvements through measures that better target the Private Health Insurance rebate, reduce wasteful spending and better target family payments.",Assertive,Labor,,
20,These measures have been designed to limit the impact on the household budgets of low and middle income families.,Assertive-V,Labor,,
21,<LIST> New measures include:,Assertive,Labor,,1.0
22,"<li> $3.0 billion from better targeting the PHI rebate over the medium term, by continuing the Government’s 2016-17 threshold freeze and removing the rebate from natural therapies. </li>",Assertive,Labor,,
23,"<li> Reforming Industry Growth Centres, saving $0.5 billion over the medium term. </li>",Assertive,Labor,,
24,"<li> Re-directing DFAT spending to other budget priorities, including the abolition of the Innovation Xchange which focussed on purchasing bean bags.",Assertive,Labor,,
25,This saves $0.4 billion over the medium term. </li> </LIST>,Assertive-V,Labor,,
26,RESOLVING UNLEGISLATED BUDGET MEASURES,Assertive,Labor,,1.0
27,"Labor will also resolve the Government’s unlegislated measures, finally drawing a line under Tony Abbott’s disastrous and unfair 2014 budget.",Commissive-A,Labor,Vague,
28,"<LIST> We will support some measures in order to fund our priorities and improve the budget bottom line, including:",Commissive-A,Labor,Vague,1.0
29,"<li> Changes to the R&D Tax Incentive, with a positive budget impact of $2.8 billion over the medium term. </li> ",Commissive-A,Labor,Specific,
30,"<li> Higher Education Indexation Revised Arrangements, with a positive budget impact of $3.6 billion over the medium term. </li>",Commissive-A,Labor,Specific,
31,"<li> Reforms to the Higher Education Loan Programme, changing repayment thresholds and ceasing the HECS-HELP benefit, with a positive budget impact of $0.3 billion over the medium term. </li> </LIST>",Commissive-A,Labor,Specific,
32,Labor believes that the Government’s budget mess shouldn’t be fixed by smashing the family budget.,Assertive,Labor,,
33,Labor will reverse the Government’s Family Tax Benefit measures and introduce modest measures to better target family payments.,Commissive-A,Labor,Vague,
34,"Labor will tighten the means test on FTB-A end-of-year supplements, reducing the payment by 50 per cent for families with incomes over $100,000.",Commissive-A,Labor,Specific,
35,Labor will also continue the pause on top income thresholds for Family Tax Benefits.,Commissive-A,Labor,Specific,
36,Labor will also reverse many of the harsh and unfair measures that remain in Malcolm Turnbull’s budget.,Commissive-A,Labor,Vague,
37,<LIST> These include:,Assertive,Labor,,1.0
38,<li> Reversing the Divorce Tax. </li> ,Commissive-A,Labor,Specific,
39,"<li> Reversing the increase in the Age Pension age to 70, and cuts to pensioners who travel overseas to visit their families. </li> ",Commissive-A,Labor,Specific,
40,<li> Reversing the Government’s cuts to the Medicare safety net. </li> ,Commissive-A,Labor,Specific,
41,<li> Reversing the Government’s cuts to working age payments. </li>  </LIST>,Commissive-A,Labor,Specific,
42,"The net impact of Labor’s decision on these unlegislated measures is a negative impact of $5.5 billion over the forward estimates, and $23 billion over the medium term.",Commissive-O,Labor,,
43,"Labor’s plan for budget repair is credible, sustainable and fair.",Assertive-V,Labor,,
44,"Unlike the Liberals, we will protect middle and working class families.",Commissive-A,Labor,Vague,
45,Australian families will be better off under Labor.,Assertive-V,Labor,,
46,We are outlining our budget repair measures well in advance of election day and seeking a mandate from the Australian people.,Assertive,Labor,,
47,The Liberals lied to Australians before the last election and broke their promises after the election.,Assertive-S,Liberal,,
48,"Labor is being upfront and honest about our priorities, and the choices we are making.",Assertive,Labor,,
49,"By making these difficult decisions, Labor can fund better schools, protect Medicare and invest in nation-building, job-creating infrastructure.",Assertive-V,Labor,,
50,"These are hard choices, but they are the right choices for Australia’s future.",Assertive-V,Labor,,
51,The Australian people have a clear choice this election.,Assertive,Labor,,
52,"Malcolm Turnbull and the Liberals will cut schools and destroy Medicare, while recklessly spending $50 billion on a tax break for banks and big business.",Assertive-V,Labor,,
53,"A Shorten Labor Government will responsibly repair the budget, invest in schools, save Medicare and protect middle and working class families.",Commissive-A,Labor,Vague,
