Id,Sentence,Categories,Target Party,Specificity,Split
1,Good morning.,Expressive,Other,,
2,Thank you for taking a couple of minutes off work.,Expressive,Other,,
3,"First of all, you work for a good company and you do good work for this company.",Assertive,Other,,
4,"This company in its various iterations in the past, has been on a journey [inaudible] way back in the day.",Expressive,Other,,
5,I think you’ve had EDI have you?,Interrogative,Other,,
6,APB.,Assertive,Other,,
7,Now it’s Bombardier.,Assertive,Other,,
8,I think Bombardier fulfilled the trust you’ve placed in them.,Assertive,Other,,
9,"What I’m here to do, is say just as you need cooperative relations with your employer, you go to work every day, you do highly skilled work.",Assertive,Other,,
10,I think Australians would be surprised to learn you can turn around a tram carriage in five days.,Assertive,Other,,
11,That’s a really good effort in coach building.,Assertive,Other,,
12,I think Australians tend to think our manufacturing days were in the past and they’ve also got a sort of smoke-stacked view of it.,Assertive,Other,,
13,"You know, ‘why on earth would young people ever want to go into manufacturing?’",Interrogative,Other,,
14,"But when you look at how you work in teams buying new technology, how you're delivering a service, which all Victorians and people interstate know you.",Assertive,Other,,
15,This is a very good story.,Assertive,Other,,
16,"While this has been a very long election, which is the other guy’s fault, I want to say to you this is great for the national media to see what you do.",Assertive,Other,,
17,"Perhaps whilst what you do, you take it in your stride, the truth of the matter is, Australians need to see Australians making things and making world class things.",Assertive,Other,,
18,"What we are doing today, is launching Labor's positive policies for Victoria.",Assertive,Labor,,
19,"In other words, what is the practical benefit for Victorians voting for Federal Labor at this election.",Assertive,Labor,,
20,"We've got this document, I won't read it all today, but I will summarise the key features of it to you in a couple of minutes.",Assertive,Labor,,
21,"One, we believe in job creation and the maintenance of good paying jobs.",Assertive,Labor,,
22,"You've got good workplace relations here, which is excellent.",Assertive,Other,,
23,"But what you've also got, is ongoing work because governments make decisions when they build public transport infrastructure that there's local content.",Assertive,Other,,
24,You're now surfing 55 - 60 per cent of those carriages with local content.,Assertive,Other,,
25,I think that’s important.,Assertive,Labor,,
26,"All of the G20 Nations, you know the big first world nations around the world, when they invest in public transport - ",Assertive,Other,,1.0
