Id,Sentence,Categories,Target Party,Specificity,Split
1,"A Shorten Labor Government will boost the Tasmanian tourism industry by providing the funding necessary to develop key attractions, delivering jobs and economic benefits for decades to come.",Commissive-A,Labor,Vague,
2,"Tasmania is an increasingly popular destination for international tourists, and was declared the number four destination on Lonely Planet’s Best in Travel 2015.",Assertive,Other,,
3,"Tourism directly and indirectly supports around 38, 000 jobs in Tasmania or about 16.2 per cent of total Tasmanian employment - the highest in the country.",Assertive,Other,,
4,"Just this week, figures released by Tourism Research Australia saw a 9 per cent increase in overseas arrivals over the year to March 2016, with a record spend of $349 million.",Assertive,Other,,
5,"But without top-class attractions, Tasmania will not be able to retain that growth and capture the full benefits that come with it.",Assertive,Other,,
6,This is particularly vital for the Tasmanian economy as it goes through a period of transition.,Assertive,Other,,
7,A Shorten Labor Government will create a new $44 million Tasmania Tourism Infrastructure Fund to support the tourism industry and build the attractions that will entice tourists and create local jobs.,Commissive-A,Labor,Specific,
8,Opposition Leader Bill Shorten will announce today the first four grants that would be made from the fund under a Shorten Labor Government.,Assertive,Labor,,
9,<LIST> They are:,Assertive,Labor,,1.0
10,<li> $1.275 million towards completion of the Burnie Waterfront Masterplan through development of a coastal promenade and shared pathway. </li>,Commissive-A,Labor,Specific,
11,<li> $4 million for the last stage of the Three Capes Walk. </li>,Commissive-A,Labor,Specific,
12,<li> $10 million to transform ex-HMAS Tobruk into a dive wreck off Tasmania's north-east coast.,Commissive-A,Labor,Specific,
13,Tasmania is the only state without a modern naval vessel dive site. </li>,Assertive,Labor,,
14,<li> $15 million for Cradle Mountain amenities upgrade. </li> </LIST>,Commissive-A,Labor,Specific,
15,The remaining $13.725 million funding will be subject to further announcements.,Commissive-A,Labor,Vague,
16,"Labor will fund this policy through announced improvements to the Budget, including not proceeding with the new baby bonus, capping VET FEE HELP loans, and not proceeding with the tax cut for multinational companies.",Commissive-A,Labor,Specific,
17,Mr Shorten will also visit the Cradle Coast campus of the University of Tasmania in Burnie today (UTAS) to back in Labor’s commitment of $150 million investment in upgraded facilities.,Assertive,Labor,,
18,"Funding will be delivered to UTAS to construct two new campuses, at Inveresk in Launceston and West Park in Burnie.",Commissive-A,Labor,Specific,
19,"The project will create 3,110 jobs, including additional academic and professional staff jobs, and support 12,000 new students into higher education.",Commissive-O,Labor,,
20,This will deliver a $1.1 billion economic boost to Tasmania during the construction phase alone and an additional $428 million a year in economic activity once complete.,Commissive-O,Labor,,
21,Labor will stand up for Tasmanian jobs and ensure the Apple Isle has all it needs for a prosperous and fair economy.,Assertive,Labor,,
