Id,Sentence,Categories,Target Party,Specificity,Split
1,"Women and Men of Australia,",Assertive,Other,,1.0
2,"We gather as one united party: ready to serve, ready to lead, ready for government.",Assertive,Other,,
3,"Labor is ambitious for the great success that our country can achieve, determined to share that success with all who help to achieve it.",Assertive,Labor,,
4,Confident that a great future is within Australia’s reach – and certain that Labor has the plans to grasp it.,Assertive,Labor,,
5,Knowing that this election can be won – and working every day to win it.,Assertive,Labor,,
6,"Mr Turnbull says he’s got this in the bag, he claims he’s already won it. ",Assertive,Liberal,,
7,"I say to him – never underestimate Labor, you ain’t seen anything yet, ",Assertive,Liberal,,1.0
8,has he?,Interrogative,Liberal,,
9,"After three years of Opposition and six weeks of campaigning so far, we can win and we must win.",Assertive,Labor,,
10,Because only a Labor Government will build a stronger economy and a fairer society.,Assertive,Labor,,
11,Will fund our schools and protect Medicare.,Commissive-A,Labor,Vague,
12,"Will create jobs and build roads, rail and a proper National Broadband Network.",Commissive-O,Labor,,
13,"Will grow our regions, we will make our cities work.",Commissive-O,Labor,,
14,Only Australia will have a Labor Government which delivers prosperity for everyone who works and prosperity that works for everyone. ,Assertive,Labor,,
15,Only Labor can do this.,Assertive,Labor,,
16,"I acknowledge the traditional owners of this land,",Assertive,Other,,1.0
17,I pay my respects to elders past and present.,Expressive,Other,,
18,But let our respect travel past words into action.,Assertive,Other,,
19,"Because as long as a young Aboriginal man is more likely to go to jail than university, words are not enough.",Assertive,Labor,,
20,Action matters.,Assertive,Labor,,
21,"Today, let us spare a thought for the two nations we count among our oldest and dearest friends, who've been shaken by terrible events.",Assertive,Other,,
22,Terrible events with incomprehensible hatred at their core and inconsolable grief the result.,Assertive,Other,,
23,"In Australia, whatever our political differences, the security of our nation, our commitment to the men and woman of the ADF and the safety of all of our citizens unites us all.",Assertive,Other,,
24,"And we can all be grateful that we live in a democracy where our disputes are heated but not hateful, our conflicts are a clash of policies not prejudices.",Assertive,Other,,
25,This is no small achievement and we should jealously guard it.,Assertive,Other,,
26,"I want to thank all of you – Labor members, union members, supporters, volunteers –",Expressive,Other,,1.0
27,"knocking on doors, making phone calls and delivering leaflets, handing out at pre-poll booths.",Assertive,Other,,
28,"Friends, our issues are starting to bite –",Assertive,Other,,1.0
29,"please, keep up the great work, ",Directive,Other,,1.0
30,we count on all of you.,Assertive,Other,,
31,As a movement we always fight for the future but we also honour our history.,Assertive,Other,,
32,Kevin Rudd is overseas today – but on your behalf I want to thank him for his example and his service.,Assertive,Other,,
33,And how lucky are we to share this room with three of our legends.,Expressive,Other,,
34,"Firstly, we are joined today by a trail-blazer for women and girls, a fierce warrior for education, a continuing inspiration for everyone who fights for Labor.",Assertive,Labor,,
35,Please welcome Julia Gillard.,Directive,Labor,,
36,"Then we have a man of courage, conviction and imagination.",Assertive,Labor,,
37,A person whose public life was spent painting the big picture – yet always with working people at the centre.,Assertive,Labor,,
38,The reason true believers kept the faith.,Assertive,Labor,,
39,"The one that every other party would like to have, but only Labor has, the one and only, Paul Keating.",Assertive,Labor,,
40,"And what can I say about this man, ladies and gentlemen, Bob Hawke.",Assertive,Labor,,
41,"Bob, there is so much admiration in this hall and indeed in this country for you and for what you've achieved.",Assertive,Labor,,
42,"And when you wave your right arm, I realise there is more fight in Bob Hawke's right arm then the whole of Malcolm Turnbull's cabinet put together.",Assertive,Labor,,
43,Thank you Bob.,Expressive,Labor,,
44,And to all those great leaders who have gone before. ,Assertive,Labor,,
45,We pledge our determination to maintain some of the core issues which you so valiantly fought for.,Commissive-O,Labor,,
46,"And indeed Bob, today we repeat what you said at your campaign launch, 26 years ago.",Assertive,Labor,,
47,“Two words: Medicare stays.”,Assertive,Labor,,
48,"And amongst so many other distinguished guests, State Premiers and leaders,",Assertive,Other,,1.0
49,"I would ask the Labor Party to please welcome to my wife Chloe and my family, ",Expressive,Other,,1.0
50,without whom I could not have led these last three years.,Assertive,Other,,
51,WESTERN SYDNEY/LABOR TEAM,Assertive,Other,,1.0
52,"It is fitting that we launch our campaign here in Penrith, one of the great, diverse and growing cities of Western Sydney.",Assertive,Other,,
53,"<LIST> Here and right around our country, Australians need a government investing in the long term and in things that people rely upon:",Assertive,Labor,,1.0
54,<li> Roads and rail. </li> ,Assertive,Labor,,
55,<li> Education. </li> ,Assertive,Labor,,
56,<li> A first-rate NBN. </li> ,Assertive,Labor,,
57,<li> Medicare and child care. </li> ,Assertive,Labor,,
58,<li> Jobs. </li> </LIST>,Assertive,Labor,,
59,"Now, Labor has the policies and the plans to meet these challenges – and the people to deliver them.",Assertive-V,Labor,,
60,"Friends, we can win this election.",Assertive,Labor,,
61,I am completely certain of that. ,Assertive,Labor,,
62,And one of the reasons why I am certain of that is that we have the best team.,Assertive,Labor,,
63,The men and woman who sit on this stage are called to politics not for their own interests but to advance the national interest.,Assertive,Labor,,
64,You’ve already heard from a future Foreign Minister who will represent Australia on the world stage with distinction.,Assertive,Labor,,
65,"And a future Treasurer, who will deliver a fairer, stronger Budget.",Assertive,Labor,,
66,<LIST> Tanya and Chris will be members of a great Labor Cabinet: and the great Labor cabinet has many others in it.,Assertive,Labor,,
67,<li> Wong </li> ,Assertive,Labor,,1.0
68,<li> Conroy </li> ,Assertive,Labor,,1.0
69,<li> Burke </li> ,Assertive,Labor,,1.0
70,<li> Macklin </li> ,Assertive,Labor,,1.0
71,<li> Albanese </li> ,Assertive,Labor,,1.0
72,<li> Butler </li> ,Assertive,Labor,,1.0
73,<li> Carr </li> ,Assertive,Labor,,1.0
74,<li> Clare </li> ,Assertive,Labor,,1.0
75,<li> Dreyfus </li> ,Assertive,Labor,,1.0
76,<li> Ellis </li> ,Assertive,Labor,,1.0
77,<li> Fitzgibbon </li> ,Assertive,Labor,,1.0
78,<li> Gallagher </li> ,Assertive,Labor,,1.0
79,<li> King </li> ,Assertive,Labor,,1.0
80,<li> Marles </li> ,Assertive,Labor,,1.0
81,<li> Neumann </li> ,Assertive,Labor,,1.0
82,<li> O’Connor </li> </LIST>,Assertive,Labor,,1.0
83,And Greenway’s own – Michelle Rowland. ,Assertive,Labor,,
84,I wish I had time to name every member my executive and every member of the Caucus.,Assertive,Labor,,
85,"Because every single name speaks for hard work, outstanding policies and complete unity of purpose.",Assertive,Labor,,
86,"<LIST> Compare those men and women, these name and their ideas to:",Assertive,Liberal,,1.0
87,<li> Scott Morrison </li> ,Assertive,Liberal,,1.0
88,<li> Peter Dutton </li> ,Assertive,Liberal,,1.0
89,<li> Michaelia Cash </li> ,Assertive,Liberal,,1.0
90,<li> There’s Brandis </li> ,Assertive,Liberal,,1.0
91,<li> Tony Abbott </li> ,Assertive,Liberal,,1.0
92,<li> Cory Bernardi </li> ,Assertive,Liberal,,1.0
93,<li> Christopher Pyne </li> </LIST>,Assertive,Liberal,,1.0
94,"…in fact, I wish I had time to name all of them as well.",Assertive,Liberal,,
95,"We’ve got the best people, we’ve got the best policies and we’ve got the best plan to pay for them.",Assertive-V,Labor,,
96,BUDGET,Assertive,Labor,,1.0
97,We are being accountable and responsible for every single dollar.,Assertive-V,Labor,,
98,"Only policies that we can fund, only policies our country can afford.",Assertive-V,Labor,,
99,We will not be a big spending government.,Commissive-A,Labor,Vague,
100,"We will be a government for the fair go, fully paid for.",Commissive-O,Labor,,
101,Bringing down the deficit each and every year.,Assertive-V,Labor,,
102,Saving more than we spend over the decade.,Assertive-V,Labor,,
103,Returning the Budget to balance at the same time as our opponents.,Assertive-V,Labor,,
104,"And each and every year after that, our surpluses will be bigger and stronger and we will pay down the public debt faster because our savings plan is built upon structural reform, not savage short term cuts.",Assertive-V,Labor,,
105,Paul Keating taught us well.,Assertive,Labor,,
106,You do not grow the economy by shrinking opportunity.,Assertive,Labor,,
107,"We believe in Budget repair, that is fair.",Assertive,Labor,,
108,"Yes, we have had to make some tough decisions.",Assertive,Labor,,
109,"But I know from travelling this marvellous country, from years of standing up for working people.",Assertive,Labor,,
