Id,Sentence,Categories,Target Party,Specificity,Split
1,When I stood on this stage in January – I said Labor would be the underdogs at this election.,Assertive,Labor,,
2,But I also said we were up for the fight.,Assertive,Labor,,
3,I said we were ready to Fight for Queensland.,Assertive,Labor,,
4,"Well, friends, we are in this fight now - and we are in it to win it!",Assertive,Labor,,
5,Please join me in thanking Premier Annastacia Palaszczuk.,Directive,Labor,,
6,When people ask me if it’s possible for Labor to defeat an out-of-touch Liberal Leader,Assertive,Labor,,1.0
7,with bad policies that hurt families in just one term…,Assertive-V,Liberal,,1.0
8,I say: we’ve done it before and we can do it again on July the 2nd.,Assertive,Labor,,
9,"I want to acknowledge the traditional owners of the land on which we meet, ",Assertive,Other,,1.0
10,I pay my respects to elders past and present.,Expressive,Other,,
11,Those words of respect deserve action.,Assertive,Labor,,
12,That's why I’m so proud that the first policy I announced on behalf of Labor - on day one of this campaign - was for 400 new scholarships for Indigenous teachers and $96 million more for the needs of Indigenous students.,Expressive,Labor,,
13,We will provide the role models which will inspire the next generation and the resources to support them.,Assertive-V,Labor,,
14,Because education is the key to closing the gap.,Assertive,Labor,,
15,"And more than that, education is the key to economic growth.",Assertive,Labor,,
16,You could have knocked me over with a feather when the Liberals  decided to spend the first week of this campaign trying to argue that investing in schools will not deliver a dividend for our economy.,Assertive,Liberal,,
17,We've heard an argument from some of the more stone age sectors of Australian political analysis that proper funding for schools and teachers will not a deliver a economic benefit.,Assertive,Other,,
18,This is medieval – it is a dark ages view of the economy.,Assertive-V,Liberal,,
19,It makes Tony Abbott look like a man of the future. ,Assertive,Liberal,,
20,"Well, I exaggerate. ",Assertive,Liberal,,
21,But you get where I am going.,Assertive,Liberal,,
22,"How on earth can anyone offer themselves as Prime Minister of Australia, if they don’t have a plan for education?",Interrogative,Liberal,,
23,Let me make this point very clear: Australia does not have to choose between a growing economy and great schools.,Assertive,Labor,,
24,We cannot have a growing economy without great schools.,Assertive,Labor,,
25,"Friends,",Assertive,Other,,1.0
26,This can be the education election.,Assertive,Labor,,
27,A referendum on the future of education in this country.,Assertive,Labor,,
28,With your hard work – with your passion – your advocacy.,Assertive,Labor,,
29,This can be the election where Australians choose great schools over a tax break for multinationals.,Assertive,Labor,,
30,Labor will be the guardians of the case to put to Australian where we can choose properly-paid and properly-supported teachers – over a double tax cut for the very few wealthy people.,Assertive-V,Labor,,
31,The contrast is that sharp – the difference is that stark.,Assertive-V,Labor,,
32,A Labor party investing in education – ,Assertive,Labor,,1.0
33,and a Liberal party protecting the top end of town.,Assertive-V,Liberal,,
34,When I stand here and promise you Labor will put people first: this begins with our commitment to education.,Commissive-O,Labor,,
35,"Over the next ten years a Labor Government will invest $37 billion to guarantee that every school, in every postcode receives fair funding on the basis of need.",Commissive-A,Labor,Specific,
36,We will deliver on the Gonski promise – and go beyond it.,Commissive-A,Labor,Specific,
37,"As the son of a teacher, as a father of three fantastic kids – and as Prime Minister; ",Assertive,Labor,,1.0
