Id,Sentence,Categories,Target Party,Specificity,Split
1,Labor is today releasing its positive plan to grow the economy of the Northern Territory in a way that protects jobs and improves living standards.,Assertive,Labor,,
2,Northern Territorians deserve a Federal Government that invests in local jobs and improves living standards.,Assertive,Other,,
3,Labor has a plan to build the job-creating infrastructure that will create jobs and drive the economy in the Northern Territory for the next generation.,Commissive-A,Labor,Vague,
4,The projects we’re backing will create local jobs for local people – and guarantee a start for more apprentices.,Assertive-V,Labor,,
5,"We will help small businesses grow with our New Jobs Tax Cut, so more Territorians can fulfil their potential in the workforce.",Commissive-A,Labor,Specific,
6,"Importantly, Labor has made a specific commitment to Indigenous students and communities.",Assertive,Labor,,
7,"Labor will stand up for families in the Northern Territory, protecting Medicare ",Commissive-A,Labor,Vague,1.0
8,"from the Turnbull Government’s plans to cut it, undermine it and privatise it.",Assertive-V,Liberal,,
9,We have developed more than 100 positive policies that will create real and local jobs for Northern Territorians.,Assertive,Labor,,
10,<LIST> A Shorten Labor Government will :,Assertive,Labor,,1.0
11,<li> Invest $58 million in an infrastructure package that will create jobs and drive growth in the Territory including $12.2 million for a Darwin Rural Area anti-flooding package among many more infrastructure initiatives. ,Commissive-A,Labor,Specific,
12,We will also pressure the Territory Government to develop business cases for critical infrastructure so projects can be considered by Infrastructure Australia and the Concrete Bank Labor is setting up. </li> ,Commissive-A,Labor,Specific,
13,<li> Create a new Business Advisory Council in the Northern Territory to develop and deliver a long-term plan for growth. </li> ,Commissive-A,Labor,Specific,
14,"<li> Double the number of Indigenous Rangers employed under the Indigenous Rangers – Working on Country Program, boosting jobs and environmental stewardship in remote areas. </li> ",Commissive-A,Labor,Specific,
15,<li> Work with Indigenous people living in outstations to build strong remote communities and to create opportunities for economic development. </li> ,Commissive-A,Labor,Vague,
16,"<li> Allocate $1 billion from the Northern Australia Infrastructure Facility to a Northern Australian Tourism Infrastructure Fund, to boost partnerships with the tourism sector and provide incentives for investment in new and upgraded tourism infrastructure across the north. </li> ",Commissive-A,Labor,Specific,
17,<li> Fight to protect penalty rates for some of the Northern Territory’s lowest paid workers. </li> ,Commissive-A,Labor,Specific,
18,"<li> Protect Medicare – Labor will reverse the Liberals’ freeze on the Medicare Benefits Schedule, meaning an average family with two children in the Northern Territory will be $400 a year better off. </li> ",Commissive-A,Labor,Specific,
19,<li> Finish the NBN so that businesses and households in the Territory can be engaged in the digital economy. </li> ,Commissive-A,Labor,Specific,
20,<li> Invest in hospitals – Labor will increase funding for Northern Territory hospitals over the next four years. ,Commissive-A,Labor,Specific,
21,Hospitals in the Northern Territory can expect to receive about $20 million more than they would under the Liberals. </li> ,Assertive-V,Labor,,
22,"<li> Deliver child care support that is faster, fairer and more affordable – many of the 3,350 families in the Northern Territory who rely on the Child Care Rebate will be up to $1,627 a year better off. </li> ",Commissive-A,Labor,Specific,
23,<li> Provide $5.5 million a year to work to close the gap on Indigenous health outcomes. </li> ,Commissive-A,Labor,Specific,
24,"<li> Invest in our nation’s schools including $100 million more in targeted, needs based funding for Territorian schools in 2018 and 2019. </li> ",Commissive-A,Labor,Specific,
25,"<li> Boost Indigenous students’ access to education and leadership opportunities in the Territory, by investing in the AFL Michael Long Learning and Leadership Centre’s full-time Indigenous training facility. </li> ",Commissive-A,Labor,Vague,
26,"<li> Invest $8.4 million to create more than 7,000 new spots in the Starts Foundation mentoring program for Aboriginal and Torres Strait Islander girls across Australia. </li>  </LIST>",Commissive-A,Labor,Specific,
27,These are just some of our positive policies for the Northern Territory.,Assertive,Labor,,
28,"This election, there is a clear choice for Territorians.",Assertive,Other,,
29,"Malcolm Turnbull and the Liberals will cut local schools and destroy Medicare, while recklessly spending $50 billion on a tax break for banks and big business.",Assertive-V,Liberal,,
30,"A Shorten Labor Government will save Medicare, improve schools, invest in job-creating infrastructure and protect middle and working class families.",Commissive-A,Labor,Vague,
