Id,Sentence,Categories,Target Party,Specificity,Split
1,Good morning everybody.,Expressive,Other,,
2,"And it is a good morning because we can do this in the next six weeks, if we stand up for Medicare.",Assertive,Labor,,
3,If we fight the battle for Medicare.,Assertive,Labor,,
4,"If we fight the battle for bulk-billing, the we can for once and for all end the Medicare wars in this country and we can set the foundations that the Liberals will never again Medicare an election issue.",Assertive,Liberal,,
5,We can do this.,Assertive,Labor,,
6,"There is a battle for Medicare, and it is upon us.",Assertive,Labor,,
7,And the A battle for bulk-billing has begun.,Assertive,Labor,,
8,"It's a battle between Labor’s vision for jobs, for health. ",Assertive,Labor,,
9,"For education, for renewable energy. ",Assertive,Labor,,
10,For affordable housing and fair taxation,Assertive,Labor,,1.0
11,And of course there is the Liberals’ plans for a $50 billion tax cut for big multinationals and a tax break for the fortunate few.,Assertive,Liberal,,
12,"Millions of our fellow Australians are counting on Labor,",Assertive,Labor,,1.0
13,They're counting on us to win this battle – and to win this election.,Assertive,Labor,,
14,And friends we are in it to win it aren't we!,Assertive,Labor,,
15,"Now, after two weeks of campaigning, I have a confession to make to you:",Assertive,Labor,,1.0
16,I’m enjoying this election campaign.  ,Expressive,Labor,,
17,"Now, I know that not everyone feels the same way - but if you think that you’ve had a tough two weeks – ",Assertive,Labor,,1.0
18,imagine spending it on a bus with our great Senator Sam Dastiyari!,Directive,Labor,,
19,"I acknowledge the traditional owners of the land upon which we meet, ",Assertive,Other,,1.0
20,I pay my respects to their elders both past and present.,Expressive,Other,,
21,"And alongside those formal words of respect, today let us pledge ourselves again to closing the gap in health.",Directive,Labor,,
22,A Labor Government will extend to Aboriginal and Torres Strait Islander peoples the most fundamental right of all – the right to grow old.  ,Commissive-O,Labor,,
23,And I want to thank our hosts here at the Western Sydney University.,Assertive,Other,,
24,6 out of 10 Australian students enrolled here are the first person in their family to go to uni.,Assertive,Other,,
25,It is a good story.,Assertive,Other,,
26,And this has been the Labor story – especially since Whitlam – extending opportunities to the next generation.,Assertive-V,Labor,,
27,"That is why we will never support Mr Turnbull’s plan for $100,000 degrees.",Commissive-A,Labor,Specific,
28,"Friends, there is something which I wish to make very clear today.",Assertive,Other,,
29,This election is bigger than the divisive and dishonest scare campaigns of a Prime Minister who promised to be better than this.,Assertive,Other,,
30,Mr Turnbull can keep telling the same tired lies about Labor every day between now and the election – he can indulge in all the Tony-Abbott sloganeering that he wishes to do.,Assertive,Liberal,,
31,He probably will.,Assertive,Liberal,,
32,"But this election is not about Malcolm Turnbull, it’s not about me.",Assertive,Other,,
33,"Ii is about the 24 million people in Australia, this election is about every Australian and positive plans for them, isn't it.",Assertive,Other,,
34,This election should be about who has the best plans for the Australian people and the future of our country.,Assertive,Other,,
35,A contest of policies and priorities.,Assertive,Other,,
36,We will fight this election to the families and small businesses of Australia on the real issues that make a practical difference to lives of ordinary Australians.,Commissive-A,Labor,Vague,
37,"Around our remarkable and special country, right here in the great cities of Western Sydney: from Campbelltown to Liverpool, from Parramatta, Penrith to Blacktown.",Assertive,Labor,,
38,"We will make an election from jobs with better pay and more security, to investing in every Australian school and funding it on the basis of need.",Commissive-A,Labor,Vague,
39,"The Liberals keep saying that Australia has to choose between good schools, decent healthcare, and fair pay on one hand or a growing economy.",Assertive,Liberal,,
40,It’s is a false choice the Turnbull Conservatives love so much: that you can only have a strong economy or you can only have a fair society but you can’t have both.,Assertive-V,Liberal,,
41,"We in the mighty Labor Party, we understand that growth and fairness are not mutually exclusive – they are not enemies opposed.",Assertive,Labor,,
42,Each depends upon the other and reinforces the other.,Assertive,Labor,,
43,Labor knows investing in people is the best growth strategy that Australia ever had and ever will have going forward.,Assertive,Labor,,
44,And nowhere is there more powerful proof of the combination of growth and fairness than our proud story of Medicare.,Assertive-V,Labor,,
45,"<LIST> That’s why, this Thursday past, I made our biggest commitment in the campaign so far to date:",Assertive,Labor,,1.0
46,<LIST> 12 billion dollars to:,Commissive-A,Labor,Specific,1.0
47,<li> -      end the freeze on the Medicare rebate </li> ,Commissive-A,Labor,Specific,1.0
48,<li> -      reverse Mr Turnbull’s GP tax by stealth </li> ,Commissive-A,Labor,Specific,1.0
49,"<li> -      and protect once and for all bulk-billing for all Australians, a universal health system </li> </LIST></LIST>",Commissive-A,Labor,Specific,1.0
50,We will support our GPs – they are the frontline troops in the battle to keep Australians healthy.,Commissive-O,Labor,,
51,We will keep downward pressure on the cost of living for families.,Commissive-O,Labor,,
52,We will ensure older Australians on fixed incomes never find themselves forced to choose between the food for the week – or a visit to the doctor.,Commissive-O,Labor,,
53,We will save Medicare,Commissive-O,Labor,,1.0
54,because Medicare it’s more than just a standard of health.,Assertive,Labor,,
55,It’s a community standard.,Assertive,Labor,,
56,"Medicare speaks for who we are as a society, as a nation",Assertive,Labor,,1.0
57,Medicare is a family policy – it is a comfort when your child has a nagging cough or a high fever.,Assertive,Labor,,
58,It’s a reassurance to older Australians on a pension or a fixed income or a self-funded retiree whose measured down to the last dollar and cent how they can structure their finances.,Assertive,Labor,,
59,Medicare ensures that they can get the important care they need.,Assertive,Labor,,
60,And friends Medicare is a driver of economic growth.,Assertive,Labor,,
61,"It is an investment, not a cost.",Assertive,Labor,,
62,"It keeps Australians active, healthy, productive at work.",Assertive,Labor,,
63,"It saves employers and businesses the costs, the red tape the risk of organising health insurance for their workforce.",Assertive,Labor,,
64,"It saves the nation money – it is the most efficient payment system, for care at the most important time.",Assertive,Labor,,
65,But it wasn’t always this way.,Assertive,Labor,,
66,"Before Labor created Medicare, the number one cause of personal bankruptcy in Australia was hospital expenses.",Assertive-V,Labor,,
67,"Every year, for tens of thousands of Australian families, getting sick meant going broke.",Assertive-V,Labor,,
68,In the United States – with its two-tier health system - this is the reality for millions of people.,Assertive,Other,,
69,"As a percentage of GDP, the United States of America spends nearly twice as much as Australia on healthcare.",Assertive,Other,,
70,"More money for less access, worse care and a shorter life expectancy.",Assertive,Other,,
71,"Instead of getting early treatment from the GP, people are funneled into over-crowded emergency rooms.",Assertive,Other,,
72,"Pressure is poured upon time-poor and under-resourced, over-worked nurses and doctors in a hospital system that cannot bear the strain.",Assertive,Other,,
73,"People are turned away, people are denied care, or not given help until things are far worse – and much more expensive",Assertive,Other,,1.0
74,That is not the future we want for Australia.,Assertive,Labor,,
75,"We are not – and must not become - a nation where profits go before patients, and we will not allow this.",Assertive,Labor,,
76,Where wealth determines your health.,Assertive,Labor,,
77,This is exactly the consequence of the Liberal policies in healthcare.,Assertive-V,Liberal,,
78,Freezing the rebate to our frontline GP’s forces our GP’s into an untenable situation.,Assertive-V,Liberal,,
79,Taking massive cuts to their own incomes or forcing patients to pay more at the doctor or the surgery.,Assertive-V,Liberal,,
80,"There is no health textbook in the world which says that by making people pay more and to go the doctor – by making people discouraged from going to the doctor when they’re sick by the barrier of increased upfront fees, there is no health book in the world – no scientific evidence to support, no evidence in the history of our society that discouraging people from going to see the doctor makes sick people better.",Assertive-V,Liberal,,
81,It makes sick Australians sicker.,Assertive-V,Liberal,,
82,"And make no mistake, the Coalition deep in their bones – they hate bulk-billing – it is a prejudice against the idea that people can universal healthcare.",Assertive,Liberal,,
83,<LIST> And in the past three years:,Assertive-S,Liberal,,1.0
84,<li> -      The Liberals have cut Medicare. </li> ,Assertive-S,Liberal,,
85,<li> -      They have taxed Medicare. </li> ,Assertive-S,Liberal,,
86,"<li> -      And in their Budget this year, we found proof they want to sell Medicare. </li> </LIST>",Assertive-S,Liberal,,
87,$5 million for a secret government taskforce to investigate the fastest way to privatize parts of Medicare.,Assertive-S,Liberal,,
88,First Tony Abbott tried to kill it – now Malcolm Turnbull wants to sell it.,Assertive-V,Liberal,,
89,"Either way, the Liberals may have changed their leader, they may have changed their tactics, but when it comes to Medicare they never change their minds.",Assertive,Liberal,,
90,And this election we have an opportunity to give a political lesson to the Liberal Party on behalf of Australia.,Assertive,Liberal,,
91,"No Government, no party seeking Government should be entitled to form a Government if they will not priorities the health needs of Australians first.",Assertive,Liberal,,
92,"And no Prime Minister who can change his priorities to prioritizing the healthcare of Australia deserves to be Prime Minister, and we will send that message loud and care.",Assertive,Liberal,,
93,Through the suburbs and the country towns and the great cities of Australia.,Assertive,Liberal,,
94,Medicare is an election issue and this election is a referendum on the future of bulk-billing and Medicare.,Assertive,Liberal,,
95,"Make no mistake, every ounce of their energy, every lever Mr Turnbull pulls, is designed to undermine bulk-billing and eliminate universal healthcare.",Assertive-V,Liberal,,
96,And let us here today give a guarantee to the Australian people.,Assertive,Labor,,
97,"Under Labor, Medicare will always be in safe hands and in public hands.",Assertive-V,Labor,,
98,And if you want to keep bulk billing in this country – ,Assertive,Labor,,1.0
99,vote Labor on July 2.,Directive,Labor,,
100,"Friends, on the future of Medicare – and on so much else - this election offers Australians the strongest policy contrast in living memory.",Assertive,Other,,
101,There is a clear choice between:,Assertive,Other,,1.0
102,Labor’s commitment to fulfil the Gonski promise.,Commissive-O,Labor,,
103,"A ten-year guarantee so every child, in every school, gets every opportunity for a great education.",Assertive-V,Labor,,
104,Or the Liberals’ $30 billion cut to schools – and Mr Turnbull’s stated grand ambition to take every single Commonwealth dollar out of every single government school. No choice could be clearer in this election.,Assertive-V,Liberal,,
105,A Labor Party will be seeking to clean out the dodgy private training colleges and backing public TAFE all the way. ,Assertive-V,Labor,,
106,"Or, a Liberal party cutting TAFE.",Assertive-V,Liberal,,
107,You’ve got a Liberal Party who would slash support for training and reduce the number of apprentices.,Assertive-V,Liberal,,
108,Labor is the party of apprenticeships and will make sure that working class and middle class kids – if they have the inclination to pursue a trade that they will get the best chance they can under a Labor Government after July 2.,Commissive-O,Labor,,
109,There is a very clear choice.,Assertive,Other,,
110,"Between a Liberal Party paying big polluters to keep polluting,",Assertive-V,Liberal,,1.0
111,or a Labor Party taking real action on climate change – by investing in renewable energy.,Assertive-V,Labor,,
112,There’s a Liberal party whose only plan for housing affordability is telling Australians to get rich parents. ,Assertive,Liberal,,
113,You couldn’t write this stuff.,Assertive,Liberal,,
114,"Or a Labor party leveling the playing field for first home buyers in the future, putting the great Australian dream back in reach of working and middle class families.",Assertive-V,Labor,,
115,"And indeed amongst these clear choices there is a choice, between a plebiscite, inflicting tax payer funded prejudice on Australians who identify as gay, ",Assertive-V,Liberal,,1.0
116,or marriage equality in the parliament within the first 100 days if Labor gets elected.,Assertive-V,Labor,,
117,Now I said before this campaign started that the Liberals would throw everything at us.,Assertive,Liberal,,
118,"That they would run a desperate campaign, that they had effectively stopped governing some months ago, that Mr Turnbull's grand promises had shrunk into a Liberal Party relying on negative fear and lies and smears to try and justify another three years on top of the first hopeless three years.",Assertive-V,Liberal,,
119,I didn't predict though that they would lie about migrants. ,Assertive,Liberal,,
120,"I didn't predict that somehow in this country the great immigrant story of this nation, would somehow become the source of demonisation and denigration. ",Assertive,Liberal,,
121,We are a better country.,Assertive,Liberal,,
122,"And I have to say on Wednesday when we made clear that we were not going to go down the path of Mr Turnbull's and Mr Dutton's lies about the contribution of migration, ",Assertive,Labor,,1.0
123,I couldn't have been any prouder of the support I received from the entire Labor Party. ,Expressive,Labor,,
124,We are the party who will stand up for all Australians.,Assertive,Labor,,
125,And they will come at us again in the next six weeks. ,Assertive,Liberal,,
126,The last weapon this empty government led by a hollow-man have in their political armoury will be their lies. ,Assertive,Liberal,,
127,"They will lie about the Budget, they will lie about the successes of NBN. ",Assertive-V,Liberal,,
128,And we have to stick to our guns. ,Assertive,Labor,,
