Id,Sentence,Categories,Target Party,Specificity,Split
1,Water infrastructure is essential for strengthening the agricultural sector and driving regional jobs and growth.,Assertive,Other,,
2,A re-elected Turnbull Coalition Government will invest $150 million to fast-track the feasibility assessment and construction of water infrastructure across Queensland.,Commissive-A,Liberal,Specific,
3,Prime Minister Malcolm Turnbull said the Coalition was delivering on its $2.5 billion commitment to building the water infrastructure of the future.,Assertive-S,Liberal,,
4,"“As the economy transitions and diversifies, agricultural exports are playing a more important role than ever before,” Mr Turnbull said.",Assertive,Other,,
5,"“The Coalition is taking action by carrying out the most significant investment in infrastructure in Australian history, including an ambitious water reform agenda, so we can continue to build a strong national economy and create more jobs.”",Assertive-S,Liberal,,
6,Deputy Prime Minister Barnaby Joyce said the Government is expediting the planning work required to get water infrastructure projects shovel-ready.,Assertive-S,Liberal,,
7,"“Our Government is serious about ensuring water infrastructure gets built as quickly as possible, to help support jobs and growth in regional communities,” Mr Joyce said.",Assertive-S,Liberal,,
8,"“Today we are announcing $19.8 million to fast-track 14 feasibility assessments and business case developments across Queensland,” he said.",Commissive-A,Liberal,Specific,
9,“We are allocating $2 million to complete the Rookwood Weir business case.,Commissive-A,Liberal,Specific,
10,"The Coalition will also provide 50% of the construction costs, up to $130 million if the business case meets all the necessary requirements.”",Commissive-A,Liberal,Specific,
11,Supporting water infrastructure projects has significant flow on effects.,Assertive,Liberal,,
12,It is estimated the Rookwood Weir will unlock an additional $1 billion dollars in agricultural production in the region – doubling the catchment’s current production.,Assertive-V,Liberal,,
13,The improved water supply is expected to create in excess of 2100 new jobs in Queensland’s agriculture sector.,Assertive-V,Liberal,,
14,The Coalition Government is getting on with the job of delivering the nation’s water infrastructure needs of the future in order to drive jobs and growth.,Assertive-V,Liberal,,
15,Our record contrasts with Labor’s failure to do any long-term planning for Australia’s future water supply during its six years in government.,Assertive-V,Labor,,
