Id,Sentence,Categories,Target Party,Specificity,Split
1,"I acknowledge the traditional owners of the land on which we meet, ",Assertive,Labor,,1.0
2,I pay my respects to elders past and present.,Expressive,Labor,,
3,I acknowledge all Aboriginal leaders who are here this evening.,Assertive,Other,,
4,"From Darwin, where I started my day, to the small community of Maningrida  on the coast of Arnhem land, where I met with remarkable Aboriginal Rangers this afternoon, to the great city of Melbourne where we gather tonight.",Assertive,Other,,
5,"This mighty continent is, was, always will be Aboriginal land.",Assertive,Labor,,
6,"It’s always a privilege to hear from Tom Calma, a great Australian.",Expressive,Other,,
7,"And I’m pleased to be here with my colleagues, Shayne Neumann and Warren Snowdon.",Expressive,Labor,,
8,And Labor’s newest Senator – Patrick Dodson.,Expressive,Labor,,
9,"I acknowledge Alan Tudge, Rachel Siewert – and the many other distinguished guests here tonight.",Assertive,Other,,
10,"This week, Reconciliation week, reminds us, after 25 years we have done some things well.",Assertive,Other,,
11,But we have not yet shifted the systemic problems of division and distrust.,Assertive,Other,,
12,<LIST> We are all embarked on a Constitutional recognition journey:,Assertive,Other,,1.0
13,<li> Parliamentary committees </li>,Assertive,Other,,1.0
14,<li> Expert panels </li> ,Assertive,Other,,1.0
15,<li> Other submissions </li> </LIST>,Assertive,Other,,1.0
16,…have all informed this conversation.,Assertive,Other,,
17,A future Labor government will advance Recognition in partnership with Aboriginal and Torres Strait Islander peoples.,Commissive-A,Labor,Vague,
18,A Labor Government will be forward-leaning – ,Commissive-O,Labor,,1.0
19,conscious that changing our Constitution is about agreeing on a head of power for the parliament to use to make laws.,Assertive,Labor,,
20,We understand Aboriginal peoples have been here for more than forty thousand years.,Assertive,Labor,,
21,Constitutional recognition is to enhance the Parliament’s recognition when making laws.,Assertive,Labor,,
22,But we must be honest.,Assertive,Labor,,
23,The relationship between Aboriginal and Torres Strait Islander peoples and other Australians is still not working.,Assertive,Labor,,
24,How do we reset this relationship?,Interrogative,Labor,,
25,How do we achieve real equality?,Interrogative,Labor,,
26,It comes from being truthful.,Assertive,Labor,,
27,It comes from mutual respect for both our rich heritages and our mutual contributions to this wonderful land of ours.,Assertive,Labor,,
28,"Right now, there is not fundamental agreement about how the country was taken from Aboriginal people.",Assertive,Labor,,
29,"Or the issues about settlement, and colonisation.",Assertive,Labor,,
30,"We need a process to find the common ground, on such matters, for the common good of our nation.",Assertive,Labor,,
31,The disgraceful fiction of the doctrine of terra nullius has been disproved.,Assertive,Labor,,
32,"But without a future framework agreed with Aboriginal people, all the arguments from 1788 onwards will continue to plague us.",Assertive,Labor,,
33,Our goal should be to agree to a future which gives us all pride and respect.,Assertive,Labor,,
34,"Finding what it is that we can all accommodate, has been the basis of the Reconciliation Council’s work.",Assertive,Labor,,
35,"Ensuring the respect, the richness of the cultures of our first peoples, along with our Western traditions and our modern multi-culture - enriches the identity of our nation.",Assertive,Labor,,
36,We must acknowledge there is unfinished business – and there are new pathways to be developed.,Assertive,Labor,,
37,The reconciliation process has provided a constructive opportunity for our nation to find agreement on these fundamental issues - or at least help us settle them.,Assertive,Labor,,
38,But the concept of Reconciliation has – for too long – been split by some into a false dichotomy.,Assertive,Labor,,
39,‘Practical’ reconciliation on one hand – and ‘symbolic’ actions like compensation and agreements on the other.,Assertive,Labor,,
40,The truth is we need agreement on both paths.,Assertive,Labor,,
41,"The ‘practical’ focus has been on Recognition Action Plans, jobs, industries, codes of conduct in sport to stop racism and in program-setting and implementation.",Assertive,Labor,,
42,"A lot of real effort by police and courts has been made, a lot of individual courage and leadership on both the indigenous and non-indigenous side has been shown.",Assertive,Labor,,
43,"Unfortunately, we cannot truly celebrate these wonderful achievements – while there is still a sense of injustice lingering in the hearts and minds of the first Australians.",Assertive,Labor,,
44,Because we have not settled the issues that mitigate against every good intention we embark upon as a parliament.,Assertive,Labor,,
45,<li> Land taken – and still being taken through the extinguishment of Native Title. </li>,Assertive,Labor,,
46,"<li> Destabilised indigenous societies, and communities </li>",Assertive,Labor,,1.0
47,<li> Children taken away </li>,Assertive,Labor,,1.0
48,<li> The underpayment of wages – and lost wages </li>,Assertive,Labor,,1.0
49,And systemic racism is still far-too prevalent.,Assertive,Labor,,
50,The insidious nature of stubborn racism is still a reality for Aboriginal and Torres Strait Islander individuals – regardless of the status and stature they achieve in our society.,Assertive,Labor,,
51,"Every generation of Aboriginal athlete, from Doug Nicholls to Nicky Winmar to Michael Long to Adam Goodes has known this.",Assertive,Labor,,
52,And this sense of discrimination percolates down to all Aboriginal and Torres Strait Islander peoples on the street every day.,Assertive,Labor,,
53,I know racism is not true of most Australians.,Assertive,Labor,,
54,I’m proud of those many Australians who stand up against heinousness of racism.,Expressive,Labor,,
55,"But there is more we must do – as parents, as educators and indeed as leaders.",Assertive,Labor,,
56,<LIST> I’m proud that for the past two days of this campaign:,Expressive,Labor,,1.0
57,<li> I’ve met with members of the Stolen Generation on National Sorry Day. </li> ,Assertive,Labor,,
58,"<li> I’ve seen the success of Aboriginal health services, of Michael Long’s leadership centre, of the Stars Program for Girls. </li> ",Assertive,Labor,,
59,"<li> I’ve visited traditional owners on their country and – seen the pride Aboriginal Rangers take in their work, looking after our coasts and managing our national estate for the benefit of all Australians. </li>  </LIST>",Assertive,Labor,,
60,These issues deserve to be in the centre square of national politics.,Assertive,Labor,,
61,They might not change an election – but they could well change our nation.,Assertive,Labor,,
62,"We must commit ourselves to addressing the hard issues of inequality, injustice and a post-Constitutional settlement.",Assertive,Labor,,
63,"Aboriginal and Torres Strait Islander peoples must be equal, empowered partners in deciding what such a settlement should look like.",Assertive,Labor,,
64,"Only then - when we work together - will we be in a place to resolve the gnawing, unresolved divisions...",Assertive,Labor,,1.0
65,…and celebrate the unity of our achievements with pride.,Expressive,Labor,,
