Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,"A Shorten Labor Government will act to protect the Great Barrier Reef, and the 70,000 jobs it supports, from the disastrous effects of climate change and other threats.",Commissive-O,,Labor,,
2,"Labor will implement an action plan to address the issues facing Australia’s greatest natural asset by boosting Reef management resources, ramping up scientific monitoring and research and new investment in improving water quality and land management.",Commissive-A,1#28,Labor,Specific,
3,The Great Barrier Reef is the largest coral reef ecosystem on earth and one of the best known marine areas in the world.,Assertive,4,Other,,
4,"The reef attracts more than two million visitors each year, contributes $5.7 billion to the economy, and supports approximately 70,000 jobs.",Assertive,5,Other,,
5,All of this is at risk if serious action is not taken to protect it.,Assertive,7,Labor,,
6,The Great Barrier Reef is an environmental treasure Australia holds on trust for the world.,Assertive,7,Other,,
7,A Labor Government will make protecting the Reef one of our highest priorities.,Commissive-A,2,Labor,Vague,
8,"Since 1985, there has been a 50 per cent loss in hard coral cover across the Reef.",Assertive,10,Other,,
9,"The Reef is under pressure from climate change, poor water quality (nutrients, sediments and pesticides), coastal development, extreme weather events, including freshwater inundation, ocean acidification and outbreaks of Crown of Thorns Starfish.",Assertive,10,Other,,
10,Australia needs real leadership to address these issues.,Assertive,11#26,Labor,,
11,"That is why Labor will implement our Great Barrier Reef Plan - a long-term, coordinated and resourced strategy.",Commissive-A,7,Labor,Vague,
12,"It will be supported by a fund of $500 million over five years, including $377 million of new investment.",Commissive-A,11#13,Labor,Specific,
13,This is a down payment on Labor’s commitment to protect this great national treasure and the jobs it supports.,Assertive,,Labor,,
14,Labor will work with the Queensland Government and stakeholders to implement the recommendations of the Great Barrier Reef Water Science Taskforce report.,Commissive-A,11,Labor,Specific,
15,"Our plan will be implemented in close consultation with the Queensland Government and all other stakeholders, with the Environment Minister taking a direct leadership role in its implementation.",Commissive-A,11,Labor,Specific,
16,"<LIST> Our plan to protect this delicate ecosystem has three pillars covering research, management, investment and preservation:",Commissive-A,17#19#20,Labor,Specific,1.0
17,"<li> Science and Research: Improve science and research and monitoring of Reef issues to ensure the protection and sustainability of the Reef is based on the latest, specialised science.",Commissive-A,11,Labor,Specific,
18,"This includes directing the CSIRO Marine to conduct Reef-specific science, including climate research, supported by a $50 million targeted funding boost. </li>",Commissive-A,17,Labor,Specific,
19,"<li> Direct Environmental Investment: Integrated direct investment to improve, water quality, land management, agricultural and environmental impacts. </li>",Commissive-A,11,Labor,Specific,
20,<li> Reef Management: Improve Reef management architecture and incentives to fix the fragmented and uncoordinated approach that has for too long characterised Reef management and conservation. </li> </LIST>,Commissive-A,11,Labor,Specific,
21,It is unacceptable that the Liberals have stuck their heads in the sand when it comes to protecting the Reef.,Assertive-V,,Liberal,,
22,"Malcolm Turnbull used to say he believed in climate change,",Assertive-S,21#23,Liberal,,1.0
23,but he has sold Australians out and let our country down.,Assertive-V,24,Liberal,,
24,A party without a credible plan to take action on climate change is a party without a plan for the future.,Assertive-V,26,Liberal,,
25,"Only last week, it was revealed that the Turnbull Government intervened to censor Australia being mentioned in the report on the impact of global warming on World Heritage Areas.",Assertive-S,22,Liberal,,
26,"The best way to help the Reef and to boost tourism and economic growth is to take serious action on climate change, to face the challenge and show leadership.",Assertive,27,Labor,,
27,Labor’s investment in the Reef goes beyond conservation – it is an investment in the tourism and agricultural industries of our coastal communities.,Assertive-V,,Labor,,
28,"Labor’s plan will protect jobs, local industries and tourism, and ensure that our natural wonder of the world is strengthened for future generations to enjoy.",Commissive-O,,Labor,,
