Id,Sentence,Categories,Target Party,Specificity,Split
1,A Labor Government will invest $68.6 million over the next four years to deliver Local Jobs for Local People.,Commissive-A,Labor,Specific,
2,"This program will connect people in disadvantaged communities with work and training, while also tackling the complex social and local issues that can keep Australians from getting a job.",Commissive-O,Labor,,
3,Local Jobs for Local People will operate in up to 20 Communities of Opportunity across Australia  areas with high employment needs and other challenges such as low educational attainment or multigenerational disadvantage.,Commissive-A,Labor,Specific,
4,"Labor believes that no matter where you live, you should have the same opportunities for a good job and a decent life as any other Australian.",Assertive,Labor,,
5,We wont let unemployment and disadvantage persist in some parts of this country while Australia continues to grow more prosperous overall.,Assertive,Labor,,
6,"Each local program will be driven by a Local Jobs for Local People Community Board made up of a coordinator and representatives from key local groups such as the Chamber of Commerce, local council, community services, education and training providers and representative bodies.",Commissive-A,Labor,Specific,
7,Local Jobs for Local People coordinators will work with the board to deliver a range of initiatives to match jobseekers to work or training and build capacity in their local communities.,Commissive-A,Labor,Specific,
8,<LIST> This will include:,Assertive,Labor,,1.0
9,<li> Working with business and other employers to develop current and future skills need lists so that jobseekers can be directed to training which matches the needs of local employers. </li> ,Commissive-A,Labor,Specific,
10,<li> Identifying emerging employment and training opportunities which suit the skills and capabilities of local job seekers. </li> ,Commissive-A,Labor,Specific,
11,"<li> Organising jobs expos to connect job seekers with career advisers, employers, education and training providers. </li> ",Commissive-A,Labor,Specific,
12,<li> Coordinating workplace mentorship and transition-to-work opportunities for school students. </li> ,Commissive-A,Labor,Specific,
13,"<li> Working with the community to identify social and economic issues which hold back workforce engagement and entrench disadvantage, and developing Community Development Action Plans that identify local initiatives to support young people, individuals and families through vulnerable life transition points such as becoming unemployed or moving from school into the workforce. </li>  </LIST>",Commissive-A,Labor,Specific,
14,Labor will also create a Working Communities Fund for local initiatives in Local Jobs for Local People Communities that tackle the causes of disadvantage and support Australians into local jobs.,Commissive-A,Labor,Specific,
15,"For example, in some places young parents struggle to enter the workforce because of a lack of affordable and accessible child care services.",Assertive,Other,,
16,"In other communities, low levels of English language and literacy can create barriers to undertaking work-related training.",Assertive,Other,,
17,"The program coordinators will work with their communities to identify local solutions to these kinds of challenges, and apply for funding to run these through the Working Communities Fund.",Commissive-A,Labor,Specific,
18,Our approach builds on the successful Local Employment Coordinator model delivered when Labor was last in government.,Assertive,Labor,,
19,Local Jobs for Local People will also strengthen the existing JobActive and Youth Employment Strategy services in communities facing the highest obstacles to employment.,Commissive-O,Labor,,
20,The Liberals only answer to persistent unemployment is to make jobseekers suffer even more.,Assertive-V,Liberal,,
21,"This is a Government that wants to make people under 30 wait one month without any income before being able to access Newstart, and force jobseekers to apply for 40 jobs a month even when no-one is hiring.",Assertive-V,Liberal,,
22,Labor wont leave unemployed Australians in disadvantaged communities out on their own like the Liberals.,Assertive,Labor,,
23,"Our plan will bring employers, training organisations and service providers together to bring down the unacceptably high rates of unemployment in some parts of Australia and help these communities thrive again.",Commissive-O,Labor,,
