Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,A Shorten Labor Government will create more jobs and get Perth moving again by investing in the city’s most important public transport project: METRONET.,Commissive-A,,Labor,Vague,
2,We will end the shambles that the Liberals have made of transport planning by providing an initial $1 billion to build new lines and extend the passenger rail network across the city.,Commissive-A,1,Labor,Specific,
3,Perth is a fast growing city and it needs a clear transport plan.,Assertive,2,Other,,
4,"Between 2001 and 2007 under the previous Labor State Government, 82 kilometres of rail was built.",Assertive-S,8,Labor,,
5,But since 2008 just eight kilometres of track has been laid.,Assertive-S,7,Liberal,,
6,"Infrastructure Australia says that without additional funding for transport projects in Perth, the cost of delays in urban transport will blow out from $2 billion in 2011 to $16 billion by 2031.",Assertive,8,Other,,
7,"While the best Malcolm Turnbull will do is take selfies on public transport,",Assertive-V,8,Liberal,,1.0
8,Labor will actually build it.,Commissive-A,2,Labor,Vague,
9,"We will work with the Western Australian Government to get the planning underway for METRONET, and submit a full business case to Infrastructure Australia.",Commissive-A,2,Labor,Specific,
10,"Labor will contribute $760 million to the project out to 2020, with a further $240 million available in the following two years.",Commissive-A,9,Labor,Specific,
11,<LIST> Priorities for planning and assessment will include:,Commissive-A,12#13#14#15#16#17,Labor,Vague,1.0
12,<li> Building a Morley-Ellenbrook Line. </li>,Commissive-A,9,Labor,Specific,
13,<li> Extending the Northern Suburbs line to Yanchep. </li>,Commissive-A,9,Labor,Specific,
14,<li> Extending the Armadale Line to Byford. </li>,Commissive-A,9,Labor,Specific,
15,"<li> Commencing a Circle Line, linking the Mandurah Line to the Thornlie Line. </li>",Commissive-A,9,Labor,Specific,
16,"<li> Remove unsafe level crossings that slow traffic on the Midland, Armadale and Fremantle Lines and help provide an incentive for urban renewal </li>",Commissive-A,9,Labor,Specific,
17,<li> Building a new station at Karnup on the Mandurah Line. </li> </LIST>,Commissive-A,9,Labor,Specific,
18,Labor’s funding commitment to METRONET will depend on a positive assessment from Infrastructure Australia.,Commissive-A,10,Labor,Specific,
19,This is consistent with our position that all major infrastructure projects must be subject to a thorough and detailed assessment prior to securing funds.,Commissive-A,18,Labor,Specific,
20,The current federal Liberal Government cut over $4 billion in funding to public transport projects when it was elected.,Assertive-S,,Liberal,,
21,"Instead, it has funded a road that goes part-way to a port that will be at full capacity within ten years.",Assertive-S,20#22,Liberal,,
22,A Shorten Labor Government will not proceed with funding the Perth Freight Link project.,Commissive-A,2,Labor,Specific,
23,"Instead, we will undertake proper planning for Perth’s container capacity as Infrastructure Australia has proposed.",Commissive-A,22,Labor,Specific,
24,We will also retain the current $59 million commitment to the Leach Highway upgrade.,Commissive-A,23#25,Labor,Specific,
25,"This comes on top of the significant local road projects that Labor has already announced, like the North Lake Bridge.",Assertive,26#27,Labor,,
26,"Like those projects, our funding injection for METRONET is a direct investment in jobs that will make Perth a more liveable city.",Assertive-V,,Labor,,
27,Only Labor has a plan to get Perth moving because we understand this growing city out west needs the same quality infrastructure and services as other Australians enjoy.,Assertive,,Labor,,
