Id,Sentence,Categories,Target Party,Specificity,Split
1,"A Shorten Labor Government will make it a priority to provide the people of Western Sydney with proper health care, delivering much needed funding to redevelop the Nepean Hospital.",Commissive-A,Labor,Vague,
2,"Labor will support Stage 4 of the hospitals redevelopment, delivering a new cancer centre, comprehensive clinical centres and outpatient services, plus new operating theatres.",Commissive-A,Labor,Vague,
3,"Families in Western Sydney will benefit from the redevelopment, which will feature a world-class emergency department plus state-of-the-art birthing suites and ante and post-natal care facilities.",Commissive-O,Labor,,
4,This investment of $88 million will allow work to start immediately on the much needed redevelopment.,Commissive-A,Labor,Specific,
5,"Labor recognises Western Sydney is growing rapidly, and this is putting a significant demand on existing services and infrastructure across the Nepean Blue Mountains Local Health District.",Assertive,Labor,,
6,"The Nepean Hospital is stretched to breaking point, with the longest wait time in the State in its emergency department and shocking elective surgery wait lists.",Assertive,Labor,,
7,"The NSW State Government needs to follow Labors lead and get on with the job of redeveloping the hospital, instead of making excuses.",Assertive,Liberal,,
8,"The NSW Government promised it would upgrade Nepean Hospital and provide the necessary funding,",Assertive-S,Liberal,,1.0
9,but has failed to commit any funding beyond a measly $1 million in planning money  breaking an election promise to provide $4 million for the planning stage.,Assertive-V,Liberal,,
10,Families in Western Sydney deserve to be treated better than second citizens.,Assertive,Liberal,,
11,They need more than money for blueprints  they need funding to get construction started.,Assertive,Liberal,,
12,"Todays announcement is part of Labors positive plan to give every Australian, regardless of their post code or income, quality health care.",Assertive,Labor,,
13,Only Labor will guarantee universal healthcare and protect Medicare.,Assertive,Labor,,
14,Opposition Leader Bill Shorten also acknowledged the Daily Telegraph for putting the focus on Western Sydney through its Fair go for the West campaign.,Assertive,Labor,,
