Id,Sentence,Categories,Target Party,Specificity,Split
1,Today marks the start of the full rollout of the National Disability Insurance Scheme.,Assertive,Labor,,
2,This a momentous and historic day for thousands of people who have fought so hard to make the NDIS a reality.,Assertive,Labor,,
3,"Today belongs to Australians with disability, their families and carers, the people who love them.",Assertive,Labor,,
4,The National Disability Insurance Scheme is already transforming the lives of thousands of Australians with disability.,Assertive-V,Labor,,
5,"When it is fully rolled out, the NDIS will support about 460,000 people with disability to live independent and fulfilling lives.",Assertive-V,Labor,,
6,"Labor designed, introduced and fully funded the National Disability Insurance Scheme.",Assertive-S,Labor,,
7,It is the biggest social reform since Medicare – another Labor achievement.,Assertive-V,Labor,,
8,The Productivity Commission found it would boost our GDP by billions of dollars a year and create thousands of new jobs.,Assertive-V,Labor,,
9,The NDIS is also an investment in our economic future. ,Assertive-V,Labor,,
10,"People with disability, their families and carers have waited their whole lives for the NDIS.",Assertive,Labor,,
11,"Labor created the NDIS because for too long, Australians with disability and their families have been forced to work with a broken system that doesn’t meet their individual needs.",Assertive-S,Labor,,
12,"Because of the NDIS, that is beginning to change.",Assertive-V,Labor,,
13,"A Shorten Labor Government will deliver the National Disability Insurance Scheme on time, as promised, across Australia.",Commissive-A,Labor,Specific,
14,"Under Labor, there will be no cuts, caps or delays to the NDIS.",Commissive-A,Labor,Specific,
