Id,Sentence,Categories,Target Party,Specificity,Split
1,"Within a day of its release, Labor’s “New Jobs Tax Cut” policy is unravelling. ",Assertive,Labor,,
2,Labor’s policy is unfunded and won’t work.,Assertive-V,Labor,,
3,Labor’s policy fails on financial grounds.,Assertive-V,Labor,,
4,"Labor says its policy will be funded from funding currently set aside for existing wage subsidy programmes, yet it says it will retain those programmes in full.",Assertive,Labor,,
5,Labor cannot simply invent a way to fund a $257 million promise when the money is already budgeted for programmes Labor says it will keep.,Assertive-V,Labor,,
6,<LIST> Labor’s policy also fails on a number of practical grounds:,Assertive-V,Labor,,1.0
7,"<li> First, it provides less support to employers that the Coalition’s PaTH policy to get young people into a job. ",Assertive-S,Labor,,
8,"Under PaTH, employers receive up to $11,000 per employee in direct financial assistance, which they can start accessing straight away.",Assertive-V,Liberal,,
9,"Under Labor’s policy, support is limited to a maximum tax deduction of $5,500, assuming the business is profitable, the highest deductible amount of $20,000 is claimed, and the company pays the proposed company tax rate of 27.5 per cent. </li> ",Assertive-V,Labor,,
10,"<li> Second, Labor’s policy is limited to small businesses with less than $2 million turnover.",Assertive-S,Labor,,
11,"In contrast, PaTH is available to businesses of all sizes.",Assertive-V,Liberal,,
12,"Australia’s larger employers have a greater capacity to employ new workers, yet Labor’s plan inexplicably excludes such companies. </li> ",Assertive-V,Labor,,
13,"<li> Third, Labor’s policy fails to provide training and work experience to people who need it most through internships, ",Assertive-V,Labor,,1.0
14,which are at the heart of the Coalition’s PaTH programme. </li>,Assertive-V,Liberal,,
15,"<li> Finally, and most importantly, Labor’s policy does not provide support to businesses when they need it most. ",Assertive-V,Labor,,
16,"Under Labor’s policy, businesses can only receive financial support as a tax deduction.",Assertive,Labor,,
17,This can only occur months after they have employed a person and only if they have made a pre-tax profit. </li> </LIST>,Assertive,Labor,,
18,"The Coalition has a carefully structured plan to get Australians into a job, through the Youth Employment Package.",Commissive-A,Liberal,Vague,
19,"The Coalition offers a $6,500 to $10,000 accelerated wage subsidy over six months, payable from day one.",Commissive-A,Liberal,Specific,
20,"The Coalition understands the importance of cash flow for small business, which is why under PaTH financial assistance will flow from the time a person is first employed. ",Commissive-A,Liberal,Specific,
21,Labor’s policy shows they fundamentally misunderstand how small businesses operate and they fail to understand what employers and young Australians actually need.,Assertive-V,Labor,,
22,Mr Shorten is hoping that the Australian people have short memories. ,Assertive,Labor,,
23,Their track record of getting people into a job is dismal.,Assertive-V,Labor,,
24,"More than 460,000 jobs have been created under the Coalition.",Assertive-V,Liberal,,
25,Only the Coalition can be trusted to deliver jobs and growth for Australia.,Assertive,Liberal,,
