Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,The Turnbull Government is continuing to provide record levels of financial assistance to State and Territory government schools and the non-government schools sector to support all Australian students.,Assertive-S,2,Liberal,,
2,"The Turnbull Government’s investment in education, training and child care will increase to more than $41.8 billion in 2016-17.",Commissive-A,4#6#7#36#61,Liberal,Specific,
3,"A well-educated nation will increase productivity, drive innovation and support our transition to a stronger and more diversified economy.",Assertive,2,Other,,
4,"The 2016-17 Budget is focused on improving student outcomes in literacy, numeracy and STEM subjects; teacher quality reforms; delivering more support for students with disability; improving our attractiveness as an education destination for international students; and assuring the quality, reputation and affordability of our higher education system.",Commissive-O,,Liberal,,
5,"Every Commonwealth dollar for education and child care will be invested according to evidence and core, robust and proven ways of improving outcomes for students.",Commissive-A,2,Liberal,Vague,
6,"The Turnbull Government’s new measures will ensure this and future generations of children and students are learning the skills they need for the jobs of the future as the economy transitions from one built on the mining and construction industries, to one built on minds.",Commissive-O,,Liberal,,
7,"We are committed to reforming the higher education sector to enshrine equitable access, achieve budget sustainability and ensure high quality and we are committed to reforming the early childhood education and care sector so Australians can receive more affordable, accessible and fairer support for their young families.",Commissive-O,,Liberal,,
8,Investment in Education and Training,Assertive,9,Liberal,,1.0
9,"<LIST> Our total investment in Education and Training for 2016-17 is more than $41.8 billion, representing an overall net increase of 6.1 per cent, including:",Commissive-A,2,Liberal,Specific,1.0
10,<li> $8.6 billion for early education and care – a 9.6 per cent increase  </li> ,Commissive-A,2,Liberal,Specific,1.0
11,<li> $17.6 billion for schools – an 8.0 per cent increase </li> ,Commissive-A,2,Liberal,Specific,1.0
12,<li> $12.3 billion for higher education – a 0.9 per cent increase </li> ,Commissive-A,2,Liberal,Specific,1.0
13,<li> $3.3 billion for skills – a 7.7 per cent increase </li> </LIST>,Commissive-A,2,Liberal,Specific,1.0
14,Our plans,Assertive,15#16,Liberal,,1.0
15,The Turnbull Government has committed to the most significant package of education quality reforms in a generation to drive excellence in Australia’s school students as part of its $73.6 billion student achievement plan.,Commissive-A,64,Liberal,Vague,
